Topic,Count,Name,Representation,Representative_Docs
-1,1074,-1_鲁班_七号_那些_好看,"['鲁班', '七号', '那些', '好看', '小朋友', '玩意', '喜欢', '苍蝇', '两个', '孩子']","['鲁班七号', '好像鲁班7号[笑哭R] 迈着矫健的步伐[doge]', '苍蝇的小孩也应该可爱的']"
0,773,0_机器人_小机器人_人形机器人_机器人马拉松,"['机器人', '小机器人', '人形机器人', '机器人马拉松', '机器', '机器狗', '遥控器', '机械', '人形', '玩具']","['这机器人半马[笑哭R]让机器人跑马拉松的上啥车呀', '你也说了机器人机器的人', '是被大机器人嘲笑的那个机器人吗']"
1,554,1_倒数_第一名_第一_好像,"['倒数', '第一名', '第一', '好像', '很难', '一名', '不过', '人家', '只有', '记住']","['它是倒数第一，它自己知道吗', '倒数第一吗？[捂脸R]', '是倒数第一啊。🤣']"
2,312,2_降降温_降温_喷雾_喷个,"['降降温', '降温', '喷雾', '喷个', '喷喷', '发热', '高温', '过热', '喷洒', '吸热']","['就是降温喷雾', '降温喷雾吧[笑哭R]', '降温喷雾[坏笑R]']"
3,127,3_可爱_小可爱_好萌_小小的,"['可爱', '小可爱', '好萌', '小小的', '超萌', '好看', '喜欢', '小东西', '呆萌', '很乖']","['有点可爱 果然什么东西都是小小的可爱', '真的好可爱啊，越看越可爱。[害羞R]', '好可爱好可爱[皱眉R][皱眉R][皱眉R][皱眉R]']"
4,90,4_荣耀_华为_厉害_手机,"['荣耀', '华为', '厉害', '手机', '不错', '官方', '夺冠', '第一个', '好看', '当时']","['荣耀不是第一个撞线的，第一个撞线的是遥控的，×1.2后就不如荣耀时间短，所以荣耀包揽了前三', '荣耀是华为那个荣耀嘛', '啥？荣耀做机器人了？']"
5,88,5_短腿_腿短_这小_小腿,"['短腿', '腿短', '这小', '小腿', '太短', '细腿', '这小细', '小矮个', '越腿长', '跑得慢']","['这小短腿[偷笑R]', '这小短腿儿', '这小短腿儿[笑哭R]']"
6,76,6_奶瓶_可爱_有奶_奶盆,"['奶瓶', '可爱', '有奶', '奶盆', '喝奶', '奶嘴', '奶娃', '吃奶', '喜欢', '小玩意儿']","['对呀，超可爱哈哈，还拿着奶瓶', '小奶瓶太可爱啦[哇R]', '拿着个奶瓶可可爱爱的']"
7,70,7_跌倒_摔倒_摔下来_摔下去,"['跌倒', '摔倒', '摔下来', '摔下去', '摔到', '爬不起来', '摔得', '倒地', '撞到', '紧迫感']","['感觉下一秒要摔倒了', '总感觉下一秒就要摔倒了，一直到最后也没摔倒', '感觉随时想摔倒。']"
8,69,8_参赛_未成年_参加_参赛者,"['参赛', '未成年', '参加', '参赛者', '小朋友', '年龄', '报名', '儿童', '成年', '凑热闹']","['这个应该参加儿童组', '不是，怎么还有小朋友参加？[偷笑R]', '这个应该去参加未成年机器人组']"
9,66,9_鞋大_大鞋_太大_鞋子,"['鞋大', '大鞋', '太大', '鞋子', '太重', '挺大', '这大', '穿鞋', '这鞋', '小鞋子']","['谁给孩子穿那么大的鞋子[失望R][失望R]', '孩子是不是鞋子太大了', '孩子鞋子太大了[皱眉R]']"
10,56,10_保安_犯了错_报警_误伤,"['保安', '犯了错', '报警', '误伤', '一脚', '安保', '搞笑', '大爷', '保住', '能犯']","['踹了保安大叔一脚的那个笑喷了🤣', '保安被踢了一脚算谁的', '保安被踢了一脚[笑哭了R]']"
11,51,11_心疼_孩子_长不大_小孩子,"['心疼', '孩子', '长不大', '小孩子', '长大', '小孩', '家长', '带娃', '儿子', '好怀念']","['自己的孩子自己心疼', '[抠鼻R]自己的心血就是自己的孩子', '看着孩子心疼']"
