post_category,comment_level,ph_pronoun_ta_obj,ph_pronoun_ta_m,ph_pronoun_ta_f,ph_kin_terms,ph_mind_volition,ph_body_pain,ph_care_moral
all,1,0.013623978201634877,0.021019852082522383,0.0011677695601401323,0.011677695601401323,0.031140521603736863,0.008952899961074349,0.0058388478007006615
all,2,0.012780790085205267,0.017815646785437646,0.002711076684740511,0.004647560030983733,0.023237800154918668,0.007358636715724245,0.004260263361735089
"humane,nohuman",1,0.02711089335293157,0.03756328597092928,0.0006532745386248571,0.005062877674342643,0.023844520659807283,0.03184713375796178,0.007839294463498285
"humane,nohuman",2,0.01904308497976672,0.03737205427279219,0.00119019281123542,0.0028564627469650082,0.0328493215900976,0.008569388240895025,0.005474886931682933
"lovely,nohuman",1,0.034722222222222224,0.03587962962962963,0.004050925925925926,0.061342592592592594,0.03298611111111111,0.028356481481481483,0.0028935185185185184
"lovely,nohuman",2,0.023629489603024575,0.02551984877126654,0.001890359168241966,0.022684310018903593,0.020793950850661626,0.02551984877126654,0.005671077504725898
"strong,human",1,0.05373134328358209,0.04477611940298507,0.0,0.0,0.03880597014925373,0.008955223880597015,0.005970149253731343
"strong,human",2,0.03508771929824561,0.04239766081871345,0.0,0.0043859649122807015,0.03070175438596491,0.019005847953216373,0.0
"strong,nohuman",1,0.028556319407720784,0.04045478582760444,0.0005288207297726071,0.0031729243786356425,0.03648863035430989,0.019037546271813855,0.005288207297726071
"strong,nohuman",2,0.027964601769911505,0.04530973451327434,0.00035398230088495576,0.001415929203539823,0.04247787610619469,0.013097345132743363,0.004247787610619469
unknown,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unknown,2,0.0,0.0,0.0,0.0,0.0,0.25,0.0
"weak,human",1,0.009009009009009009,0.01673101673101673,0.002574002574002574,0.021879021879021878,0.028314028314028315,0.018018018018018018,0.003861003861003861
"weak,human",2,0.003968253968253968,0.013038548752834467,0.0017006802721088435,0.024376417233560092,0.022675736961451247,0.008503401360544218,0.0022675736961451248
"weak,nohuman",1,0.009547879809042405,0.009267059814658803,0.0016849199663016006,0.007582139848357203,0.021623139567537208,0.04436955911260882,0.007582139848357203
"weak,nohuman",2,0.007989043597352202,0.013238986532755079,0.0015978087194704405,0.004565167769915545,0.02031499657612417,0.014380278475233965,0.005934718100890208
