post_category,comment_level,role_athlete,role_hero_progress,role_failure_comedy,role_baby_cute,role_threat_compete,role_product_tech,role_nation_tech
all,1,0.041261191124951344,0.016738030362008563,0.28221097703386533,0.07901907356948229,0.0058388478007006615,0.010899182561307902,0.008952899961074349
all,2,0.03756777691711851,0.012393493415956624,0.4066615027110767,0.026336173508907823,0.009682416731216111,0.023625096824167312,0.016266460108443067
"humane,nohuman",1,0.05993793891883064,0.034950187816429855,0.04311611954924057,0.008982524906091785,0.008982524906091785,0.03478686918177364,0.0171484566389025
"humane,nohuman",2,0.06284218043323019,0.02427993334920257,0.05974767912401809,0.0038086169959533444,0.01594858367055463,0.020947393477743395,0.019757200666507973
"lovely,nohuman",1,0.03009259259259259,0.006944444444444444,0.12731481481481483,0.2309027777777778,0.0028935185185185184,0.0023148148148148147,0.001736111111111111
"lovely,nohuman",2,0.017013232514177693,0.00945179584120983,0.3005671077504726,0.13516068052930058,0.002835538752362949,0.007561436672967864,0.003780718336483932
"strong,human",1,0.08358208955223881,0.03880597014925373,0.1701492537313433,0.005970149253731343,0.07164179104477612,0.011940298507462687,0.01791044776119403
"strong,human",2,0.039473684210526314,0.01608187134502924,0.3567251461988304,0.023391812865497075,0.0043859649122807015,0.011695906432748537,0.0043859649122807015
"strong,nohuman",1,0.07826546800634585,0.023268112109994712,0.07562136435748282,0.008989952406134321,0.014542570068746695,0.019037546271813855,0.024061343204653623
"strong,nohuman",2,0.031150442477876107,0.014513274336283187,0.21168141592920353,0.006371681415929204,0.011327433628318584,0.020176991150442476,0.022300884955752213
unknown,1,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0
unknown,2,0.0,0.25,0.25,0.0,0.0,0.25,0.0
"weak,human",1,0.018018018018018018,0.006435006435006435,0.2471042471042471,0.029601029601029602,0.007722007722007722,0.002574002574002574,0.007722007722007722
"weak,human",2,0.007369614512471655,0.01020408163265306,0.33956916099773243,0.031179138321995464,0.003401360544217687,0.006235827664399093,0.003968253968253968
"weak,nohuman",1,0.02443133951137321,0.009547879809042405,0.2305532153889357,0.03538331929233361,0.0036506599269868017,0.008986239820275204,0.010109519797809604
"weak,nohuman",2,0.012782469755763524,0.007760785208856425,0.469299246747318,0.03538005021684547,0.004336909381419767,0.0057064597123944304,0.0038803926044282126
