post_category,ngram,count
"weak,nohuman",捂脸R],206
"weak,nohuman",R][笑,161
"weak,nohuman",][笑哭,161
"weak,nohuman",哭R][,156
"weak,nohuman",[偷笑R,143
"weak,nohuman",偷笑R],143
"weak,nohuman",[dog,131
"weak,nohuman",doge,131
"weak,nohuman",oge],131
"weak,nohuman",笑R][,73
"weak,nohuman",momo,67
"weak,nohuman",@mom,61
"weak,nohuman",了[笑哭,53
"weak,nohuman",[大笑R,50
"weak,nohuman",大笑R],50
"weak,nohuman",脸R][,45
"weak,nohuman",][捂脸,43
"weak,nohuman",R][偷,43
"weak,nohuman",][偷笑,43
"weak,nohuman",R][捂,42
"weak,nohuman",[失望R,40
