k,perplexity,largest_topic_share,smallest_topic_share
5,2118.714586373008,0.21454319453076445,0.17360679511083488
8,2021.7478913642599,0.1419100890822457,0.10383260824528692
10,2011.7032280256217,0.11373523927905531,0.07408328154133002
12,1999.4780164553422,0.10892894137145225,0.06032732546094883
15,1974.8273069670781,0.10412264346384918,0.0474414750362544
