cluster,post_category,count,share
0,弱势|观众,52,0.17993079584775087
0,all,34,0.11764705882352941
0,强势|服务者,26,0.08996539792387544
0,unknown,108,0.3737024221453287
0,中性|观众,28,0.09688581314878893
0,成功|观众,21,0.0726643598615917
0,成功|被超越者,2,0.006920415224913495
0,弱势|同伴,5,0.01730103806228374
0,失败|抢救者,12,0.04152249134948097
0,失败|观众,1,0.0034602076124567475
9,中性|观众,35,0.03986332574031891
9,强势|服务者,263,0.29954441913439633
9,成功|观众,112,0.1275626423690205
9,all,64,0.07289293849658314
9,弱势|同伴,13,0.014806378132118452
9,unknown,286,0.32574031890660593
9,中性|评价者,5,0.0056947608200455585
9,失败|抢救者,45,0.05125284738041002
9,弱势|观众,36,0.04100227790432802
9,成功|被超越者,18,0.02050113895216401
9,失败|观众,1,0.0011389521640091116
5,强势|服务者,287,0.21102941176470588
5,弱势|观众,89,0.06544117647058824
5,unknown,439,0.32279411764705884
5,中性|观众,88,0.06470588235294118
5,失败|抢救者,89,0.06544117647058824
5,all,107,0.07867647058823529
5,成功|观众,185,0.13602941176470587
5,中性|评价者,8,0.0058823529411764705
5,成功|被超越者,34,0.025
5,失败|观众,3,0.0022058823529411764
5,弱势|同伴,30,0.022058823529411766
5,成功|服务者,1,0.0007352941176470588
6,unknown,450,1.0
1,unknown,974,0.31778140293637847
1,成功|观众,441,0.1438825448613377
1,强势|服务者,786,0.2564437194127243
1,all,263,0.08580750407830343
1,中性|观众,189,0.06166394779771615
1,失败|抢救者,208,0.06786296900489397
1,弱势|观众,124,0.04045676998368679
1,成功|被超越者,36,0.011745513866231648
1,失败|观众,5,0.0016313213703099511
1,弱势|同伴,29,0.009461663947797716
1,中性|评价者,8,0.0026101141924959217
1,成功|服务者,1,0.0003262642740619902
1,弱势|评价者,1,0.0003262642740619902
7,弱势|观众,52,0.07055630936227951
7,all,78,0.10583446404341927
7,成功|观众,69,0.09362279511533243
7,unknown,247,0.33514246947082765
7,强势|服务者,127,0.1723202170963365
7,中性|观众,75,0.10176390773405698
7,失败|抢救者,56,0.07598371777476255
7,成功|被超越者,16,0.021709633649932156
7,中性|评价者,5,0.0067842605156037995
7,弱势|同伴,9,0.012211668928086838
7,失败|观众,3,0.004070556309362279
8,unknown,133,0.3220338983050847
8,失败|抢救者,21,0.05084745762711865
8,强势|服务者,147,0.3559322033898305
8,弱势|观众,9,0.021791767554479417
8,成功|观众,63,0.15254237288135594
8,all,26,0.06295399515738499
8,中性|观众,6,0.014527845036319613
8,成功|被超越者,5,0.012106537530266344
8,失败|观众,1,0.002421307506053269
8,弱势|同伴,2,0.004842615012106538
2,unknown,100,0.3115264797507788
2,失败|抢救者,26,0.08099688473520249
2,强势|服务者,8,0.024922118380062305
2,弱势|观众,17,0.0529595015576324
2,中性|观众,80,0.24922118380062305
2,成功|观众,22,0.06853582554517133
2,成功|被超越者,11,0.03426791277258567
2,all,48,0.14953271028037382
2,弱势|同伴,5,0.01557632398753894
2,中性|评价者,4,0.012461059190031152
4,unknown,98,0.3904382470119522
4,成功|观众,18,0.07171314741035857
4,中性|观众,51,0.20318725099601595
4,失败|抢救者,22,0.08764940239043825
4,all,41,0.16334661354581673
4,弱势|观众,2,0.00796812749003984
4,强势|服务者,10,0.0398406374501992
4,弱势|同伴,5,0.0199203187250996
4,中性|评价者,1,0.00398406374501992
4,失败|观众,2,0.00796812749003984
4,成功|被超越者,1,0.00398406374501992
3,成功|观众,44,0.1864406779661017
3,强势|服务者,65,0.2754237288135593
3,弱势|观众,11,0.046610169491525424
3,unknown,60,0.2542372881355932
3,all,19,0.08050847457627118
3,成功|被超越者,4,0.01694915254237288
3,弱势|同伴,6,0.025423728813559324
3,中性|观众,18,0.07627118644067797
3,失败|抢救者,9,0.038135593220338986
