post_category,comment_level,bd_human_side,bd_machine_side,bd_contrast_markers
all,1,0.18567536006228105,0.12417282989490074,0.00506033476060724
all,2,0.17195972114639815,0.10960495739736638,0.008133230054221533
"humane,nohuman",1,0.3357831128531765,0.2072513473787359,0.007839294463498285
"humane,nohuman",2,0.31801951916210425,0.16258033801475838,0.019995239228755058
"lovely,nohuman",1,0.10127314814814815,0.05381944444444445,0.0028935185185185184
"lovely,nohuman",2,0.13137996219281664,0.06899810964083176,0.012287334593572778
"strong,human",1,0.27761194029850744,0.20298507462686566,0.008955223880597015
"strong,human",2,0.20760233918128654,0.08333333333333333,0.005847953216374269
"strong,nohuman",1,0.2469592808038075,0.15441565309360128,0.007932310946589107
"strong,nohuman",2,0.2456637168141593,0.1504424778761062,0.015221238938053097
unknown,1,0.1111111111111111,0.05555555555555555,0.0
unknown,2,0.0,0.25,0.0
"weak,human",1,0.16087516087516088,0.10296010296010295,0.003861003861003861
"weak,human",2,0.10147392290249434,0.061224489795918366,0.003401360544217687
"weak,nohuman",1,0.13423195731536086,0.08171861836562763,0.004493119910137602
"weak,nohuman",2,0.0951837480027391,0.05660808034695275,0.00410865099292399
