event,category,n_posts,n_L1,n_L2
Marathon,失败,20,1344,369
Marathon,弱势,11,248,140
Marathon,常态,21,4956,1099
Marathon,强势,214,8475,4515
Marathon,混合,40,1540,395
Marathon,unknown,7,176,93
Games,失败,45,5509,928
Games,弱势,13,137,74
Games,常态,72,617,204
Games,强势,181,11498,2903
Games,混合,318,22966,7799
Games,unknown,45,489,128
Merged,失败,65,6853,1297
Merged,弱势,24,385,214
Merged,常态,93,5573,1303
Merged,强势,395,19973,7418
Merged,混合,358,24506,8194
Merged,unknown,52,665,221
