token,category,keep_in_topic,notes
哈哈,slang,false,笑声口癖
哈哈哈,slang,false,笑声口癖
哈哈哈哈,slang,false,笑声口癖
笑死,slang,false,高频情绪词
哭,slang,false,情绪拟声
大笑,slang,false,情绪拟声
偷笑,slang,false,情绪拟声
捂脸,slang,false,表情文字
啊啊啊,slang,false,语气词
呜呜,slang,false,语气词
哇,slang,false,语气词
哇哦,slang,false,语气词
