Topic,ctfidf_top_terms
-1,"机器人,本人,严肃,遥控,统治,评论,跑步,名状,地球,之后,马拉松,当做,凉面,人类,一样"
0,"比赛,真的,人家,干嘛,可爱,孩子,厉害,好像,停下来,评论,鼓掌,表演,跳舞,最后,一段"
1,"机器人,机器,ai,人类,比赛,公司,跑步,人形机器人,马拉松,努力,这样,目前,研发,发展,工具"
