excluded_post_id,robot_status,topic,delta_mean_share
69e40352000000002102fc75,常态,0,0.016331171148988077
69e40352000000002102fc75,常态,1,-0.01049938371782548
69e40352000000002102fc75,常态,2,-0.007274230377517288
69e40352000000002102fc75,常态,3,0.0020707153746846174
69e40352000000002102fc75,常态,4,-0.002176126229664177
69e40352000000002102fc75,常态,5,0.004898082180671476
69e40352000000002102fc75,常态,6,-0.0033502283793371557
69e429b4000000001b00037a,常态,0,0.004976698009617864
69e429b4000000001b00037a,常态,1,-0.007361103234007238
69e429b4000000001b00037a,常态,2,-0.0014335416992999894
69e429b4000000001b00037a,常态,3,-0.007758204751718345
69e429b4000000001b00037a,常态,4,0.006661184438310097
69e429b4000000001b00037a,常态,5,0.008733758327560445
69e429b4000000001b00037a,常态,6,-0.003818791090462792
69e43a5a000000001d01dcc7,常态,0,0.005875684606544973
69e43a5a000000001d01dcc7,常态,1,-0.000542085581179505
69e43a5a000000001d01dcc7,常态,2,-0.013013102013128053
69e43a5a000000001d01dcc7,常态,3,-0.009969916095294656
69e43a5a000000001d01dcc7,常态,4,0.0025340186978720647
69e43a5a000000001d01dcc7,常态,5,0.010209935182741867
69e43a5a000000001d01dcc7,常态,6,0.004905465202443379
69e44f3a000000002301079c,常态,0,-0.06555288682202648
69e44f3a000000002301079c,常态,1,0.010618628704534783
69e44f3a000000002301079c,常态,2,0.020469040844014824
69e44f3a000000002301079c,常态,3,0.01904794104756244
69e44f3a000000002301079c,常态,4,-0.015323124159270785
69e44f3a000000002301079c,常态,5,0.016906363754170414
69e44f3a000000002301079c,常态,6,0.013834036631014804
69e46032000000001f002048,常态,0,-0.015807988862842737
69e46032000000001f002048,常态,1,9.566952086130509e-05
69e46032000000001f002048,常态,2,0.0064384285991168355
69e46032000000001f002048,常态,3,0.01777243084348082
69e46032000000001f002048,常态,4,0.00795493706521902
69e46032000000001f002048,常态,5,-0.01912679951113569
69e46032000000001f002048,常态,6,0.002673322345300516
69e4c771000000002102c3fc,常态,0,0.02860295733381768
69e4c771000000002102c3fc,常态,1,0.004125122211028273
69e4c771000000002102c3fc,常态,2,-0.0055049851300111585
69e4c771000000002102c3fc,常态,3,-0.019913097913476507
69e4c771000000002102c3fc,常态,4,-0.005582864419011069
69e4c771000000002102c3fc,常态,5,-0.01556116871336205
69e4c771000000002102c3fc,常态,6,0.013834036631014804
69e5a09a000000002103ba03,常态,0,0.0019074306382910189
69e5a09a000000002103ba03,常态,1,0.006650374736280801
69e5a09a000000002103ba03,常态,2,0.012532532907506888
69e5a09a000000002103ba03,常态,3,-0.0007933287937073874
69e5a09a000000002103ba03,常态,4,0.004518145681999042
69e5a09a000000002103ba03,常态,5,-0.002934906087099412
69e5a09a000000002103ba03,常态,6,-0.02188024908327091
69e634590000000022003bb5,常态,0,0.02366693394760977
69e634590000000022003bb5,常态,1,-0.003087222639692952
69e634590000000022003bb5,常态,2,-0.012214143130682087
69e634590000000022003bb5,常态,3,-0.0004565397115308678
69e634590000000022003bb5,常态,4,0.0014138289245457791
69e634590000000022003bb5,常态,5,-0.0031252651335470227
69e634590000000022003bb5,常态,6,-0.006197592256702647
