Topic,ctfidf_top_terms
-1,"外卖,亦庄,八步,赶蝉,鸵鸟,快递,机器人,t800,汉堡,小哥,义庄,失业,超时,满大街,神奇"
0,"机器人,轮子,人类,马拉松,遥控,跑步,意义,比赛,需要,跟着,人形,机器,发展,为什么,一样"
1,"降温,散热,冰块,干冰,电池,润滑,wd40,云南白药,换电池,喷雾,关节,加冰,冷却,以为,后面"
