帖子id,机器人状态,人的形象,帖子链接,一级评论次数,二级评论次数,matched_xhs_id,帖子标题,帖子正文
7630709289883077901,,,https://www.tiktok.com/@zhe.robots/video/7630709289883077901,14,1,,Looks like a tiny AI in China ,Looks like a tiny AI in China called 豆包😂🥹🤖🔥👍#China #technology #robot #marathon #beijing 
7631233993727479042,,,https://www.tiktok.com/@arkitechnology/video/7631233993727479042,10,5,,HOW ARE THEY FASTER THAN US AL,HOW ARE THEY FASTER THAN US ALREADY 🤖 robots in china can run a half marathon like 7 mins faster than world record holder. robot v human olympics soon please #robot #tech #marathon #china 
7496454745583013138,,,https://www.tiktok.com/@ntv.news/video/7496454745583013138,174,83,,【ガチ中国 #9】中国・北京で世界初のロボットマラソンが行わ,【ガチ中国 #9】中国・北京で世界初のロボットマラソンが行われました。大暴走ロボットに超リアル美人ロボット、小動物系癒しロボットまで多種多様なロボットたちの一部始終。はたして完走できるロボットはいるのでしょうか？ #日テレnews #tiktokでニュース #ガチ中国 #china #chinanews #中国  #ロボットマラソン  #机器人马拉松
7628219382790982934,,,https://www.tiktok.com/@headline.central3/video/7628219382790982934,0,0,,Over 100 teams are set to comp,Over 100 teams are set to compete in the second humanoid robot half-marathon in Beijing. The robots completed a full-scale test ahead of the race on April 19. @cnn
7630429589898136848,,,https://www.tiktok.com/@joongangilbo_official/video/7630429589898136848,35,24,,"‘하프마라톤 50분대 완주’ … 중국 휴머노이드 로봇,","‘하프마라톤 50분대 완주’ … 중국 휴머노이드 로봇, 인간 기록 깼다 #marathon #마라톤 #휴머노이드 #로봇 #중국 "
7631094550848752916,,,https://www.tiktok.com/@banhbaokonhan13/video/7631094550848752916,102,11,,ĐANG VIRAL Được dân mạng bình ,ĐANG VIRAL Được dân mạng bình chọn là bé robot đáng yêu nhất tham gia giải maratong robot lần này😆😆 Tốc độ ko nhanh nhưng rất được lòng các奶爸奶妈 vì thiết kế đáng yêu vô đối. Ngoài ra đi thi ko quên cầm theo bình sữa nữa 😆😆😆😆  #机器人马拉松 #TrungQuoc #Robot #Xuhuong #Douyin 
7496054053089070382,,,https://www.tiktok.com/@frontline_focus/video/7496054053089070382,0,0,,Beijing Hosts World's First Hu,"Beijing Hosts World's First Humanoid Robot Half-Marathon! Around 20 teams participated in the event, showcasing robots of all shapes and sizes—some shorter than 120cm, others as tall as 1.8 meters. After hours of clunky steps and high-tech hustle, Tian Gong (天工机器人) claimed first place. Meanwhile, Xiao Wan Tong (小顽童) and Xuan Feng Xiao Zi (旋风小子) finished second and third, respectively. #robot #China #HumanoidRobot #Marathon #ChinaTech"
7630770400842075425,,,https://www.tiktok.com/@nicholassit/video/7630770400842075425,14,0,,#honorrobot #beijingrobotmarat,#honorrobot #beijingrobotmarathon #robotmarathon 
7630513919198596374,,,https://www.tiktok.com/@srfnews/video/7630513919198596374,83,35,,Ein chinesischer Roboter hat e,"Ein chinesischer Roboter hat einen Halbmarathon schneller absolviert als je ein Mensch zuvor. Noch vor einem Jahr lagen sie hinter ihren menschlichen Konkurrenten zurück. Doch am Sonntag liess ein Android das gesamte Feld hinter sich. Der Laufroboter des chinesischen Smartphone-Herstellers Honor, absolvierte die 21 Kilometer in Peking in 50 Minuten und 26 Sekunden. Er unterbot damit den menschlichen Weltrekord um rund sieben Minuten. Der menschliche Rekord – 57 Minuten und 20 Sekunden – wird laut World Athletics vom ugandischen Läufer Jacob Kiplimo gehalten. #srfnews #srf #news #roboter #halbmarathon "
7630590582422768910,,,https://www.tiktok.com/@_boogiebot/video/7630590582422768910,7,3,,This robot's speed is insane! ,This robot's speed is insane! Imagine being chased down by this thing. China's military is about to get a serious upgrade. #Robot #Tech #China #Future #MilitaryTech #AI
