tiktok_id,matched,matched_xhs_id,matched_hamming,matched_vembed,top1_xhs_id,top1_vembed,top1_hamming
7630303156135546126,True,69e42cc100000000220001ad,0,0.9101,69e48b0b000000001a02578c,0.9259,24
7371920946040507680,False,,,,69e48d54000000002102e178,0.9285,16
7436804238312787243,False,,,,69e6f2bc0000000023005345,0.9255,24
7494851506349280543,False,,,,69e5a09a000000002103ba03,0.9314,24
7494884857303076126,False,,,,69e48d54000000002102e178,0.9328,22
7494991809572130078,False,,,,69e48d54000000002102e178,0.9282,22
7495064100825845035,False,,,,69e48341000000001a02d0c4,0.9299,24
7495070816300748052,False,,,,69e48b0b000000001a02578c,0.9356,26
7496454745583013138,False,,,,69e2583b00000000230211ea,0.9328,24
7538846508385307959,False,,,,69e44278000000001a0217bb,0.9285,22
7540927387400277270,False,,,,69e463df000000001b003017,0.929,24
7545771550088121622,False,,,,69e44278000000001a0217bb,0.9299,22
7607517786457345294,False,,,,69e43a5a000000001d01dcc7,0.9234,20
7618773442560625950,False,,,,69e48d54000000002102e178,0.9323,22
7619233789734030605,False,,,,69e44171000000001a026b25,0.935,22
7620403060728286477,False,,,,69e59e520000000022027a90,0.9268,22
7625672595483987222,False,,,,69e47f8f000000001f007203,0.9291,24
7627649623280078102,False,,,,69e41e24000000001a025f1a,0.9236,26
7628048891967065358,False,,,,69da7e87000000001a03484e,0.9281,20
7628110375514377479,False,,,,69e44278000000001a0217bb,0.9398,24
7628693302266580246,False,,,,69da7e87000000001a03484e,0.9353,16
7629004110443891990,False,,,,69da7e87000000001a03484e,0.9286,24
7629345735259245827,False,,,,69e48d54000000002102e178,0.944,22
7629601490528767253,False,,,,69e44278000000001a0217bb,0.9353,22
7630052715334405398,False,,,,69e4412a000000002103883f,0.9135,24
7630160431482506510,False,,,,69df625d0000000021005c63,0.9389,20
7630254461641936150,False,,,,69e481e8000000002003ad94,0.9324,22
7630264653783780630,False,,,,69e48d54000000002102e178,0.9262,26
7630265127480184086,False,,,,69e2583b00000000230211ea,0.9357,24
7630286769279323406,False,,,,69e45dbe000000001f00434f,0.9257,22
7630307025888578837,False,,,,69e48d54000000002102e178,0.9318,26
7630325624875388180,False,,,,69e48d54000000002102e178,0.9218,22
7630389496885808406,False,,,,69e6f2bc0000000023005345,0.9394,20
7630395684377677057,False,,,,69e40352000000002102fc75,0.9444,24
7630403809512115463,False,,,,69e48d54000000002102e178,0.9316,20
7630414717604957448,False,,,,69e40352000000002102fc75,0.9251,22
7630418824717683998,False,,,,69e463df000000001b003017,0.9257,20
7630429589898136848,False,,,,69e481e8000000002003ad94,0.9178,24
7630439934490463510,False,,,,69da7e87000000001a03484e,0.9332,24
7630457825814252820,False,,,,69e463df000000001b003017,0.9332,26
7630464467419041037,False,,,,69e40352000000002102fc75,0.9295,24
7630476548952460567,False,,,,69e40352000000002102fc75,0.9242,24
7630491481236704545,False,,,,69e48d54000000002102e178,0.9302,22
7630513919198596374,False,,,,69e2583b00000000230211ea,0.9274,22
7630536429109660950,False,,,,69e44278000000001a0217bb,0.9308,20
7630544905416264982,False,,,,69df625d0000000021005c63,0.9181,24
7630644926425877767,False,,,,69e44278000000001a0217bb,0.9374,22
7630659600005582101,False,,,,69e4412a000000002103883f,0.9242,24
7630681972972539167,False,,,,69e48d54000000002102e178,0.9176,22
7630685060500409630,False,,,,69e47f8f000000001f007203,0.9265,24
7630767290061016337,False,,,,69e48d54000000002102e178,0.9256,24
7630772250849217813,False,,,,69e48d54000000002102e178,0.9279,22
7630786814139239702,False,,,,69e4412a000000002103883f,0.9313,26
7630790137298898190,False,,,,69da7e87000000001a03484e,0.933,22
7630833156865674504,False,,,,69e634590000000022003bb5,0.9119,24
7630864176667200801,False,,,,69e481e8000000002003ad94,0.9401,22
7630888372273220884,False,,,,69df625d0000000021005c63,0.9298,22
7630910748834745631,False,,,,69e481e8000000002003ad94,0.9347,22
7631046172836220191,False,,,,69e48b0b000000001a02578c,0.9314,24
7631094550848752916,False,,,,69e481e8000000002003ad94,0.9459,22
7631119290237750545,False,,,,69e2583b00000000230211ea,0.929,20
7631148156712979732,False,,,,69e48d54000000002102e178,0.9291,26
7631229266667048205,False,,,,69e2583b00000000230211ea,0.926,22
7633050798611762439,False,,,,69e4426b000000001d01c7ed,0.9281,20
7633150863229406471,False,,,,69e44278000000001a0217bb,0.9322,22
7633362023761399061,False,,,,69e44278000000001a0217bb,0.9357,24
7634461573460872466,False,,,,69da7e87000000001a03484e,0.9318,26
7634573354619407638,False,,,,69e6f2bc0000000023005345,0.9373,22
7634734261110689025,False,,,,69e6f2bc0000000023005345,0.9236,24
7637415124940115220,False,,,,69e44278000000001a0217bb,0.9284,28
