tiktok_id,xhs_id,min_hamming,tt_frame,xhs_frame,matched
7630303156135546126,69e42cc100000000220001ad,0,0,0,True
7630772250849217813,69e42cc100000000220001ad,12,2,2,False
7630681972972539167,69df625d0000000021005c63,14,1,1,False
7628048891967065358,69e43b14000000001a02e095,14,6,5,False
7494991809572130078,69e4426b000000001d01c7ed,14,2,3,False
7631148156712979732,69e43b14000000001a02e095,14,6,0,False
7630491481236704545,69df625d0000000021005c63,14,7,3,False
7619233789734030605,69df625d0000000021005c63,14,3,6,False
7630644926425877767,69da7e87000000001a03484e,14,0,1,False
7630414717604957448,69e4426b000000001d01c7ed,16,0,2,False
7630429589898136848,69df625d0000000021005c63,16,1,6,False
7630464467419041037,69e4b08d000000001d01c1bc,16,4,3,False
7371920946040507680,69e48d54000000002102e178,16,7,7,False
7630265127480184086,69e42cc100000000220001ad,16,1,3,False
7630685060500409630,69df625d0000000021005c63,16,3,2,False
7631046172836220191,69e43a5a000000001d01dcc7,16,2,5,False
7631094550848752916,69e4551e000000001f005895,16,2,5,False
7633050798611762439,69e463df000000001b003017,16,1,3,False
7633150863229406471,69e44fbf000000001e00cc6a,16,7,7,False
7634461573460872466,69e42cc100000000220001ad,16,4,4,False
7630513919198596374,69da7e87000000001a03484e,16,3,4,False
7630264653783780630,69e43a5a000000001d01dcc7,16,3,2,False
7630403809512115463,69e429b4000000001b00037a,16,5,4,False
7607517786457345294,69e40352000000002102fc75,16,6,1,False
7538846508385307959,69e4551e000000001f005895,16,2,4,False
7627649623280078102,69da7e87000000001a03484e,16,1,1,False
7540927387400277270,69e4412a000000002103883f,16,7,0,False
7495064100825845035,69da7e87000000001a03484e,16,6,3,False
7494851506349280543,69e40352000000002102fc75,16,5,5,False
7496454745583013138,69e46730000000001d0199c8,16,0,7,False
7629004110443891990,69e44fbf000000001e00cc6a,16,1,1,False
7629345735259245827,69e47f8f000000001f007203,16,1,5,False
7628693302266580246,69da7e87000000001a03484e,16,6,0,False
7633362023761399061,69e463df000000001b003017,18,3,0,False
7494884857303076126,69e44171000000001a026b25,18,1,0,False
7631119290237750545,69e44fbf000000001e00cc6a,18,2,7,False
7630910748834745631,69e5a09a000000002103ba03,18,2,0,False
7630888372273220884,69e4c771000000002102c3fc,18,5,2,False
7436804238312787243,69e5a09a000000002103ba03,18,5,3,False
7630864176667200801,69e463df000000001b003017,18,4,4,False
7630833156865674504,69e429b4000000001b00037a,18,6,6,False
7630790137298898190,69e429b4000000001b00037a,18,3,4,False
7630786814139239702,69e2583b00000000230211ea,18,0,3,False
7634573354619407638,69e43a5a000000001d01dcc7,18,7,0,False
7630767290061016337,69e5a09a000000002103ba03,18,2,6,False
7630659600005582101,69e44278000000001a0217bb,18,2,7,False
7630052715334405398,69e48d54000000002102e178,18,1,2,False
7634734261110689025,69e2583b00000000230211ea,18,5,6,False
7630160431482506510,69e2583b00000000230211ea,18,1,3,False
7630286769279323406,69e48341000000001a02d0c4,18,3,5,False
7630307025888578837,69e2583b00000000230211ea,18,0,6,False
7630325624875388180,69e2583b00000000230211ea,18,7,1,False
7630389496885808406,69e429b4000000001b00037a,18,3,1,False
7629601490528767253,69e447d2000000001d01aa01,18,4,0,False
7628110375514377479,69e48d54000000002102e178,18,0,3,False
7630418824717683998,69df625d0000000021005c63,18,1,6,False
7637415124940115220,69e447d2000000001d01aa01,18,1,5,False
7630457825814252820,69df625d0000000021005c63,18,6,2,False
7625672595483987222,69e40352000000002102fc75,18,0,7,False
7620403060728286477,69e4c771000000002102c3fc,18,5,6,False
7618773442560625950,69e44fbf000000001e00cc6a,18,7,6,False
7630536429109660950,69e463df000000001b003017,18,2,1,False
7630439934490463510,69e42cc100000000220001ad,18,3,3,False
7495070816300748052,69e2583b00000000230211ea,20,3,0,False
7630395684377677057,69df625d0000000021005c63,20,1,4,False
7630476548952460567,69e2583b00000000230211ea,20,4,1,False
7631229266667048205,69df625d0000000021005c63,20,1,5,False
7630254461641936150,69df625d0000000021005c63,20,6,3,False
7545771550088121622,69df625d0000000021005c63,20,0,5,False
7630544905416264982,69da7e87000000001a03484e,20,3,5,False
