tiktok_id,assigned_xhs_id,assigned_score,top1_xhs_id,top1_score,matched
7631094550848752916,69e481e8000000002003ad94,0.9459,69e481e8000000002003ad94,0.9459,True
7630395684377677057,69e40352000000002102fc75,0.9444,69e40352000000002102fc75,0.9444,True
7628110375514377479,69e44278000000001a0217bb,0.9398,69e44278000000001a0217bb,0.9398,True
7630389496885808406,69e6f2bc0000000023005345,0.9394,69e6f2bc0000000023005345,0.9394,True
7630160431482506510,69df625d0000000021005c63,0.9389,69df625d0000000021005c63,0.9389,True
7495070816300748052,69e48b0b000000001a02578c,0.9356,69e48b0b000000001a02578c,0.9356,True
7619233789734030605,69e44171000000001a026b25,0.935,69e44171000000001a026b25,0.935,True
7628693302266580246,69e43a5a000000001d01dcc7,0.9347,69da7e87000000001a03484e,0.9353,True
7630265127480184086,69e47f8f000000001f007203,0.9338,69e2583b00000000230211ea,0.9357,True
7629345735259245827,69e43b14000000001a02e095,0.9336,69e48d54000000002102e178,0.944,True
7630644926425877767,69e2583b00000000230211ea,0.9334,69e44278000000001a0217bb,0.9374,True
7629601490528767253,69e48341000000001a02d0c4,0.9333,69e44278000000001a0217bb,0.9353,True
7630457825814252820,69e463df000000001b003017,0.9332,69e463df000000001b003017,0.9332,True
7630790137298898190,69da7e87000000001a03484e,0.933,69da7e87000000001a03484e,0.933,True
7634573354619407638,69e48d54000000002102e178,0.9321,69e6f2bc0000000023005345,0.9373,True
7630864176667200801,69e4c771000000002102c3fc,0.9317,69e481e8000000002003ad94,0.9401,True
7494851506349280543,69e5a09a000000002103ba03,0.9314,69e5a09a000000002103ba03,0.9314,True
7630786814139239702,69e4412a000000002103883f,0.9313,69e4412a000000002103883f,0.9313,True
7633050798611762439,69e4426b000000001d01c7ed,0.9281,69e4426b000000001d01c7ed,0.9281,True
7630439934490463510,69e41e24000000001a025f1a,0.9272,69da7e87000000001a03484e,0.9332,True
7620403060728286477,69e59e520000000022027a90,0.9268,69e59e520000000022027a90,0.9268,True
7494884857303076126,69e4551e000000001f005895,0.9261,69e48d54000000002102e178,0.9328,True
7630286769279323406,69e45dbe000000001f00434f,0.9257,69e45dbe000000001f00434f,0.9257,True
7630307025888578837,69e429b4000000001b00037a,0.9252,69e48d54000000002102e178,0.9318,True
7637415124940115220,69e634590000000022003bb5,0.9247,69e44278000000001a0217bb,0.9284,True
7618773442560625950,69e44fbf000000001e00cc6a,0.9246,69e48d54000000002102e178,0.9323,True
7630464467419041037,69e4b08d000000001d01c1bc,0.9231,69e40352000000002102fc75,0.9295,True
7630910748834745631,69e42cc100000000220001ad,0.9182,69e481e8000000002003ad94,0.9347,True
7630491481236704545,69e447d2000000001d01aa01,0.9175,69e48d54000000002102e178,0.9302,True
7630325624875388180,69e46730000000001d0199c8,0.9162,69e48d54000000002102e178,0.9218,True
7630888372273220884,,-1.0,69df625d0000000021005c63,0.9298,False
7630767290061016337,,-1.0,69e48d54000000002102e178,0.9256,False
7630681972972539167,,-1.0,69e48d54000000002102e178,0.9176,False
7630685060500409630,,-1.0,69e47f8f000000001f007203,0.9265,False
7634734261110689025,,-1.0,69e6f2bc0000000023005345,0.9236,False
7634461573460872466,,-1.0,69da7e87000000001a03484e,0.9318,False
7633362023761399061,,-1.0,69e44278000000001a0217bb,0.9357,False
7630772250849217813,,-1.0,69e48d54000000002102e178,0.9279,False
7633150863229406471,,-1.0,69e44278000000001a0217bb,0.9322,False
7631229266667048205,,-1.0,69e2583b00000000230211ea,0.926,False
7631148156712979732,,-1.0,69e48d54000000002102e178,0.9291,False
7630833156865674504,,-1.0,69e634590000000022003bb5,0.9119,False
7631119290237750545,,-1.0,69e2583b00000000230211ea,0.929,False
7631046172836220191,,-1.0,69e48b0b000000001a02578c,0.9314,False
7630659600005582101,,-1.0,69e4412a000000002103883f,0.9242,False
7371920946040507680,,-1.0,69e48d54000000002102e178,0.9285,False
7630544905416264982,,-1.0,69df625d0000000021005c63,0.9181,False
7630536429109660950,,-1.0,69e44278000000001a0217bb,0.9308,False
7494991809572130078,,-1.0,69e48d54000000002102e178,0.9282,False
7495064100825845035,,-1.0,69e48341000000001a02d0c4,0.9299,False
7496454745583013138,,-1.0,69e2583b00000000230211ea,0.9328,False
7538846508385307959,,-1.0,69e44278000000001a0217bb,0.9285,False
7540927387400277270,,-1.0,69e463df000000001b003017,0.929,False
7545771550088121622,,-1.0,69e44278000000001a0217bb,0.9299,False
7607517786457345294,,-1.0,69e43a5a000000001d01dcc7,0.9234,False
7625672595483987222,,-1.0,69e47f8f000000001f007203,0.9291,False
7627649623280078102,,-1.0,69e41e24000000001a025f1a,0.9236,False
7628048891967065358,,-1.0,69da7e87000000001a03484e,0.9281,False
7629004110443891990,,-1.0,69da7e87000000001a03484e,0.9286,False
7630052715334405398,,-1.0,69e4412a000000002103883f,0.9135,False
7630254461641936150,,-1.0,69e481e8000000002003ad94,0.9324,False
7630264653783780630,,-1.0,69e48d54000000002102e178,0.9262,False
7630303156135546126,,-1.0,69e48b0b000000001a02578c,0.9259,False
7630403809512115463,,-1.0,69e48d54000000002102e178,0.9316,False
7436804238312787243,,-1.0,69e6f2bc0000000023005345,0.9255,False
7630418824717683998,,-1.0,69e463df000000001b003017,0.9257,False
7630429589898136848,,-1.0,69e481e8000000002003ad94,0.9178,False
7630476548952460567,,-1.0,69e40352000000002102fc75,0.9242,False
7630513919198596374,,-1.0,69e2583b00000000230211ea,0.9274,False
7630414717604957448,,-1.0,69e40352000000002102fc75,0.9251,False
