excluded_post_id,robot_status,topic,delta_mean_share
69e42cc100000000220001ad,弱势,0,-0.02659775241126361
69e42cc100000000220001ad,弱势,1,0.011062594298829498
69e42cc100000000220001ad,弱势,2,0.03794230150031888
69e42cc100000000220001ad,弱势,3,0.001279251987112373
69e42cc100000000220001ad,弱势,4,-0.013150687723556598
69e42cc100000000220001ad,弱势,5,-0.017973989003027886
69e42cc100000000220001ad,弱势,6,0.007438281351587306
69e44f3a000000002301079c,弱势,0,0.08629398548047423
69e44f3a000000002301079c,弱势,1,-0.028182419946184756
69e44f3a000000002301079c,弱势,2,-0.06013462157660418
69e44f3a000000002301079c,弱势,3,-0.02229624658838618
69e44f3a000000002301079c,弱势,4,0.024954725381856516
69e44f3a000000002301079c,弱势,5,0.022980426951388078
69e44f3a000000002301079c,弱势,6,-0.023615849702543754
69e48d54000000002102e178,弱势,0,-0.04571921583965774
69e48d54000000002102e178,弱势,1,0.0043808363794478195
69e48d54000000002102e178,弱势,2,0.030294421327686227
69e48d54000000002102e178,弱势,3,0.009166899726245292
69e48d54000000002102e178,弱势,4,-0.006948464937175394
69e48d54000000002102e178,弱势,5,0.003178446753368258
69e48d54000000002102e178,弱势,6,0.005647076590085509
69e6f2bc0000000023005345,弱势,0,-0.01397701722955283
69e6f2bc0000000023005345,弱势,1,0.012738989267907397
69e6f2bc0000000023005345,弱势,2,-0.008102101251400928
69e6f2bc0000000023005345,弱势,3,0.011850094875028472
69e6f2bc0000000023005345,弱势,4,-0.004855572721124524
69e6f2bc0000000023005345,弱势,5,-0.008184884701728463
69e6f2bc0000000023005345,弱势,6,0.010530491760870897
