method,k,perplexity,reconstruction_err,topic_diversity,largest_topic_share,smallest_topic_share
lda,5,212.11309383657922,,0.982512315270936,0.35267857142857145,0.12436224489795919
lda,7,233.71284219468833,,0.9751348815388224,0.319515306122449,0.08737244897959184
lda,10,234.448332502062,,0.9922276956759716,0.28635204081632654,0.04974489795918367
lda,12,239.58007049396002,,0.9936930885206747,0.2582908163265306,0.03826530612244898
nmf,5,,35.24119476645714,0.9554966106690245,0.3647959183673469,0.08801020408163265
nmf,7,,34.77814668276493,0.9607585445023868,0.3482142857142857,0.04783163265306122
nmf,10,,34.207429221813655,0.9511284203238226,0.288265306122449,0.03443877551020408
nmf,12,,33.886136189016035,0.9602969189176086,0.28061224489795916,0.03443877551020408
