robot_status,topic,mean_share_post_averaged,n_posts_in_status
强势,0,0.08817191570702577,11
强势,1,0.09448425001847438,11
强势,2,0.036977021849892294,11
强势,3,0.029389351815611395,11
强势,4,0.04740824281693319,11
强势,5,0.10655952518564006,11
强势,6,0.057738933241496725,11
强势,7,0.009612422338061711,11
强势,8,0.0076956847818936995,11
强势,9,0.028490184409069894,11
强势,10,0.025068672843370318,11
强势,11,0.029349317254112814,11
强势,12,0.011175268915941866,11
强势,13,0.03996537352978223,11
强势,14,0.019459130391585925,11
强势,15,0.008627141819837874,11
强势,16,0.004003955421089989,11
强势,17,0.02505363940855075,11
强势,18,0.007283721795594392,11
强势,19,0.03491497596249253,11
强势,20,0.00312933171477833,11
强势,21,0.008545201471156257,11
强势,22,0.009082962629167192,11
强势,23,0.006350489364219711,11
强势,24,0.005023014678493845,11
强势,25,0.002830395425645904,11
强势,26,0.004215208751047501,11
强势,27,0.006285803908930032,11
强势,28,0.00880141222129333,11
强势,29,0.003994799973815109,11
强势,30,0.006790232087634656,11
强势,31,0.00472769319007695,11
强势,32,0.0020135527993927816,11
强势,33,0.011766202059353213,11
强势,34,0.018292718339300212,11
强势,35,0.012797931017917192,11
强势,36,0.0033435094602148707,11
强势,37,0.012795022852994949,11
强势,38,0.0028067647328519837,11
强势,39,0.037104373734379366,11
强势,40,0.0031157010821160247,11
强势,41,0.026745060180394856,11
强势,42,0.005445047551801282,11
强势,43,0.002412876437568488,11
强势,44,0.014803272474054253,11
强势,45,0.01850387091258043,11
强势,46,0.012321734860719613,11
强势,47,0.010597976278757483,11
强势,48,0.002303159161516736,11
强势,49,0.021625951141369643,11
