excluded_post_id,robot_status,topic,delta_mean_share
69da7e87000000001a03484e,强势,0,0.0038334766405461462
69da7e87000000001a03484e,强势,1,0.0030558410863918972
69da7e87000000001a03484e,强势,2,0.004719296939640488
69da7e87000000001a03484e,强势,3,-0.003261964973083384
69da7e87000000001a03484e,强势,4,-0.0014291152879537805
69da7e87000000001a03484e,强势,5,-0.0017616906502996438
69da7e87000000001a03484e,强势,6,-0.005155843755241751
69e4412a000000002103883f,强势,0,-0.00627719975436411
69e4412a000000002103883f,强势,1,0.0067268431659802674
69e4412a000000002103883f,强势,2,0.008094222039213977
69e4412a000000002103883f,强势,3,-0.0040849884830054944
69e4412a000000002103883f,强势,4,-0.0007206453714898031
69e4412a000000002103883f,强势,5,-0.001324624632182539
69e4412a000000002103883f,强势,6,-0.0024136069641522706
69e44278000000001a0217bb,强势,0,0.0006158229414398586
69e44278000000001a0217bb,强势,1,0.0052910476088193215
69e44278000000001a0217bb,强势,2,0.003561081349309686
69e44278000000001a0217bb,强势,3,0.00015918706331924382
69e44278000000001a0217bb,强势,4,1.9827808932823543e-05
69e44278000000001a0217bb,强势,5,-0.003239018708397115
69e44278000000001a0217bb,强势,6,-0.006407948063423846
69e447d2000000001d01aa01,强势,0,0.005077847314968659
69e447d2000000001d01aa01,强势,1,0.0022180362762209693
69e447d2000000001d01aa01,强势,2,-0.021442643211937007
69e447d2000000001d01aa01,强势,3,0.0032525593307328182
69e447d2000000001d01aa01,强势,4,0.005126946190387491
69e447d2000000001d01aa01,强势,5,0.0034006324740269295
69e447d2000000001d01aa01,强势,6,0.0023666216256001404
69e44fbf000000001e00cc6a,强势,0,0.005372460109581423
69e44fbf000000001e00cc6a,强势,1,-0.03408948336463202
69e44fbf000000001e00cc6a,强势,2,-0.0202221044913983
69e44fbf000000001e00cc6a,强势,3,0.0112211339659741
69e44fbf000000001e00cc6a,强势,4,0.011524252587693892
69e44fbf000000001e00cc6a,强势,5,0.010920273327001115
69e44fbf000000001e00cc6a,强势,6,0.01527346786577971
69e4551e000000001f005895,强势,0,-0.00457651948225532
69e4551e000000001f005895,强势,1,0.003257455410878185
69e4551e000000001f005895,强势,2,0.002992181222887469
69e4551e000000001f005895,强势,3,0.002241542129239424
69e4551e000000001f005895,强势,4,-0.0023532984327143125
69e4551e000000001f005895,强势,5,-0.00010013483626418462
69e4551e000000001f005895,强势,6,-0.001461226011771316
69e45dbe000000001f00434f,强势,0,0.0011059930437131715
69e45dbe000000001f00434f,强势,1,-0.001754154023314608
69e45dbe000000001f00434f,强势,2,0.007697057185248407
69e45dbe000000001f00434f,强势,3,-0.004946530704684565
69e45dbe000000001f00434f,强势,4,0.003141019054759761
69e45dbe000000001f00434f,强势,5,-0.004049786553238399
69e45dbe000000001f00434f,强势,6,-0.0011935980024837811
69e463df000000001b003017,强势,0,-0.007617735968849931
69e463df000000001b003017,强势,1,0.008720974151707916
69e463df000000001b003017,强势,2,0.0055131896262488045
69e463df000000001b003017,强势,3,0.002724401939830298
69e463df000000001b003017,强势,4,-0.007429995778319182
69e463df000000001b003017,强势,5,-0.004112406411560979
69e463df000000001b003017,强势,6,0.0022015724409431003
69e46730000000001d0199c8,强势,0,-0.006187690266358431
69e46730000000001d0199c8,强势,1,0.002376682048901846
69e46730000000001d0199c8,强势,2,0.002741554656471412
69e46730000000001d0199c8,强势,3,-0.001059567788411861
69e46730000000001d0199c8,强势,4,0.00024605709897206063
69e46730000000001d0199c8,强势,5,0.0006445841039434824
69e46730000000001d0199c8,强势,6,0.0012383801464814492
69e481e8000000002003ad94,强势,0,0.007201203655192445
69e481e8000000002003ad94,强势,1,-0.001062871422357392
69e481e8000000002003ad94,强势,2,0.008446967400565192
69e481e8000000002003ad94,强势,3,-0.0065201608837544694
69e481e8000000002003ad94,强势,4,-0.007223264955004388
69e481e8000000002003ad94,强势,5,-5.549788973395475e-05
69e481e8000000002003ad94,强势,6,-0.0007863759049074326
69e48341000000001a02d0c4,强势,0,0.0014523417663861726
69e48341000000001a02d0c4,强势,1,0.005259629061403509
69e48341000000001a02d0c4,强势,2,-0.0021008027162503218
69e48341000000001a02d0c4,强势,3,0.00027438840384391705
69e48341000000001a02d0c4,强势,4,-0.0009017829152646872
69e48341000000001a02d0c4,强势,5,-0.0003223302232947256
69e48341000000001a02d0c4,强势,6,-0.003661443376823864
