method,k,perplexity,reconstruction_err,topic_diversity,largest_topic_share,smallest_topic_share
lda,5,1242.8841566363028,,0.9470443349753694,0.2424487594390507,0.17583603020496225
lda,7,1280.3582367983254,,0.9575155732791201,0.18790453074433658,0.12311218985976267
lda,10,1335.9883605558896,,0.9585051389649091,0.14738403451995685,0.07820927723840346
lda,12,1348.2594456032446,,0.9664419233384751,0.10423408845738943,0.06418554476806904
nmf,5,,117.9887393210615,0.9203856679718749,0.42354368932038833,0.07362459546925566
nmf,7,,117.31245096894247,0.958475933845392,0.2570118662351672,0.05744336569579288
nmf,10,,116.44687301433459,0.9491409484512933,0.18540992448759439,0.048813376483279394
nmf,12,,115.91987884893436,0.9568291542429473,0.17421790722761596,0.04625134843581446
