帖子id,帖子链接,帖子用户名,机器人状态,人的形象,是否比赛视频,robot_status原文,媒体类型,语言,特点,数据原文件地址
6vifX4SuHDk,https://www.youtube.com/shorts/6vifX4SuHDk,CGTN Europe,常态,服务照护,是,常态（正常跑步和运动）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
1vUnusbzNMQ,https://www.youtube.com/watch?v=1vUnusbzNMQ,Al Jazeera English,强势,被超越者,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
68nzpFcl7-Y,https://www.youtube.com/watch?v=68nzpFcl7-Y,共同通信  KYODO NEWS,强势,服务照护,是,强势（如超高性能，跑得很快）,官方新闻,其他,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
nmBTYpZdYhs,https://www.youtube.com/watch?v=nmBTYpZdYhs,ベン・ゼイン,混合,被超越者,是,混合（都有）,民间解读,其他,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
f5NjB-YQGW8,https://www.youtube.com/watch?v=f5NjB-YQGW8,The Sun,失败,服务照护,是,失败（如摔倒，失去能力）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
TCFRQc0h5BY,https://www.youtube.com/watch?v=TCFRQc0h5BY,Fox News Clips,常态,观众,是,常态（正常跑步和运动）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
6Y6_h0yEnSU,https://www.youtube.com/shorts/6Y6_h0yEnSU,ANNnewsCH,强势,服务照护,是,强势（如超高性能，跑得很快）,官方新闻,其他,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
ClyGw-BH1hY,https://www.youtube.com/shorts/ClyGw-BH1hY,Richard Coward 英杰,常态,服务照护,是,常态（正常跑步和运动）,民间解读,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
t3FZjHuMUUU,https://www.youtube.com/watch?v=t3FZjHuMUUU,Lifestyle,强势,观众,是,强势（如超高性能，跑得很快）,原视频,中文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
xODaciimurM,https://www.youtube.com/watch?v=xODaciimurM,Kompas.com,强势,观众,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
aKYxLWqw8ZQ,https://www.youtube.com/watch?v=aKYxLWqw8ZQ,NBC News,强势,观众,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
gpd_kYRsAV0,https://www.youtube.com/shorts/gpd_kYRsAV0,China Minutes,弱势,服务照护,是,可爱（可爱，萌萌哒）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
WnCfMRhbhZQ,https://www.youtube.com/watch?v=WnCfMRhbhZQ,NBC News,强势,被超越者,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
4i4EglunAag,https://www.youtube.com/watch?v=4i4EglunAag,New York Post,强势,被超越者,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
kvWR8BG3lYg,https://www.youtube.com/watch?v=kvWR8BG3lYg,China Fact Chasers,混合,观众,是,混合（都有）,民间解读,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
XWmVqXpF84A,https://www.youtube.com/watch?v=XWmVqXpF84A,Bloomberg Television,强势,观众,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
mcJYlIDCiLk,https://www.youtube.com/watch?v=mcJYlIDCiLk,CNBC International Live,强势,被超越者,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
tiesaq_GqwI,https://www.youtube.com/watch?v=tiesaq_GqwI,FRANCE 24 English,强势,被超越者,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
A-cb3N34aPM,https://www.youtube.com/shorts/A-cb3N34aPM,DW हिन्दी,强势,观众,是,强势（如超高性能，跑得很快）,官方新闻,其他,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
FajrhihCY4c,https://www.youtube.com/shorts/FajrhihCY4c,Qube,强势,服务照护,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
ZrNxxnMNgJM,https://www.youtube.com/shorts/ZrNxxnMNgJM,CNN,强势,观众,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
NlMLbzQBowA,https://www.youtube.com/watch?v=NlMLbzQBowA,旦那は北京現人,强势,服务照护,是,强势（如超高性能，跑得很快）,民间解读,其他,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
rEB2PwhSlq0,https://www.youtube.com/shorts/rEB2PwhSlq0,XRoboHub,强势,服务照护,是,强势（如超高性能，跑得很快）,民间解读,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
0MJYUav6H2k,https://www.youtube.com/watch?v=0MJYUav6H2k,RoboSphäre | Jens Fischer,强势,被超越者,是,强势（如超高性能，跑得很快）,民间解读,其他,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
RCeb5cbpyZA,https://www.youtube.com/shorts/RCeb5cbpyZA,ExtraOrdinary,,,否,,,,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
-6aPMFT-ahg,https://www.youtube.com/watch?v=-6aPMFT-ahg,Long in China,强势,观众,是,强势（如超高性能，跑得很快）,民间解读,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
PaVji89icDs,https://www.youtube.com/shorts/PaVji89icDs,New China TV,强势,被超越者,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
tspSASap8RA,https://www.youtube.com/shorts/tspSASap8RA,通視,常态,服务照护,是,常态（正常跑步和运动）,官方新闻,中文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
H8zBMpQ_pbs,https://www.youtube.com/watch?v=H8zBMpQ_pbs,DW News,强势,被超越者,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
cvfoGdsadKs,https://www.youtube.com/watch?v=cvfoGdsadKs,ShanghaiEye魔都眼,强势,服务照护,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
pH8tVBqCRLY,https://www.youtube.com/watch?v=pH8tVBqCRLY,Capital Markets AI,强势,服务照护,是,强势（如超高性能，跑得很快）,民间解读,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
5yqcw5YzRj4,https://www.youtube.com/watch?v=5yqcw5YzRj4,New York Post,失败,服务照护,是,失败（如摔倒，失去能力）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
cwHaxY4Hoks,https://www.youtube.com/watch?v=cwHaxY4Hoks,磊哥聊政经,强势,观众,是,强势（如超高性能，跑得很快）,民间解读,中文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
ZuQWhfvizOY,https://www.youtube.com/shorts/ZuQWhfvizOY,简一指南OneGuide,强势,被超越者,是,强势（如超高性能，跑得很快）,民间解读,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
Rh-ZDmUxbVA,https://www.youtube.com/shorts/Rh-ZDmUxbVA,Associated Press,强势,被超越者,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
ikd7EcKvONo,https://www.youtube.com/watch?v=ikd7EcKvONo,DRM News,强势,服务照护,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
k5_Tlgvt-c8,https://www.youtube.com/shorts/k5_Tlgvt-c8,Global News,常态,服务照护,是,常态（正常跑步和运动）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
-MldIroo_Ms,https://www.youtube.com/watch?v=-MldIroo_Ms,South China Morning Post,强势,服务照护,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
cqu55xht9QE,https://www.youtube.com/shorts/cqu55xht9QE,CGTN Europe,强势,服务照护,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
Kk_GE8ninmA,https://www.youtube.com/shorts/Kk_GE8ninmA,DW News,强势,被超越者,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
jz3TC2ZkLgw,https://www.youtube.com/watch?v=jz3TC2ZkLgw,NextGen Humanoids,强势,观众,是,强势（如超高性能，跑得很快）,民间解读,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
SNB-SiPUZyg,https://www.youtube.com/watch?v=SNB-SiPUZyg,Firstpost,强势,被超越者,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
MfS5m4MARGk,https://www.youtube.com/shorts/MfS5m4MARGk,BBC News,强势,被超越者,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
zqgc9C3cC6U,https://www.youtube.com/watch?v=zqgc9C3cC6U,CGTN,强势,服务照护,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
3gVEw_qL77Y,https://www.youtube.com/watch?v=3gVEw_qL77Y,ShanghaiEye魔都眼,混合,观众,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
TWUpFdB4YJc,https://www.youtube.com/shorts/TWUpFdB4YJc,CGTN,常态,服务照护,是,常态（正常跑步和运动）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
0w6m2rhD5OM,https://www.youtube.com/watch?v=0w6m2rhD5OM,New China TV,强势,被超越者,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
Sq-AZns9vYs,https://www.youtube.com/shorts/Sq-AZns9vYs,バズワールド,强势,被超越者,是,强势（如超高性能，跑得很快）,民间解读,其他,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
kGkA4s0Wbx4,https://www.youtube.com/watch?v=kGkA4s0Wbx4,Reuters,强势,被超越者,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
ZwKRcBAEd88,https://www.youtube.com/shorts/ZwKRcBAEd88,ANI News,强势,被超越者,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
oLdVcsttB_A,https://www.youtube.com/shorts/oLdVcsttB_A,Guardian News,强势,服务照护,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
rTJHMoOAFkc,https://www.youtube.com/shorts/rTJHMoOAFkc,The Straits Times,强势,服务照护,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
5J7v_Zin-H4,https://www.youtube.com/shorts/5J7v_Zin-H4,CGTN America,失败,服务照护,是,失败（如摔倒，失去能力）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
6WwVXz8Tc0Y,https://www.youtube.com/watch?v=6WwVXz8Tc0Y,Inside Edition,强势,服务照护,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
