Topic,ctfidf_top_terms
-1,"赛跑,龟兔,斯皮尔伯格,镜头,耐克,版龟,真正,机器人,后面,种龟,运动鞋,这才,洋气,既视感,那车"
0,"地上,可爱,镜头,奶瓶,小孩,真的,最后,一转,低血糖,搞笑,好笑,坐在,不行,语言,奶嘴"
1,"机器人,汽车,为什么,遥控,机器,小机器人,人类,人形机器人,人形,自主,比赛,做成,马拉松,轮子,为了"
