comment_id,exclude_reason,content
69e47886000000001401b01e,effective_tokens_lt_min,它是在看镜头么[坏笑R]
69e46287000000001401cc26,effective_tokens_lt_min,是宇树的吗？
69e455a90000000014019419,effective_tokens_lt_min,你倒是快跑啊
69e4859d0000000014018823,effective_tokens_lt_min,若干年后[微笑R]
69e76a670000000014019400,effective_tokens_lt_min,甚至他看都不看你[笑哭R]
69e72f350000000014019004,effective_tokens_lt_min,厉害[点赞R][点赞R][点赞R]
69eb481e000000002902d289,effective_tokens_lt_min,快跑，他快没电了
69e62b19000000001401a81f,effective_tokens_lt_min,昨天看到您了[偷笑R]
69eb4b05000000002203d034,effective_tokens_lt_min,牛啊牛啊，感觉体格都比我好[惊恐R]
69e5b464000000001401a822,effective_tokens_lt_min,@把阿兹卡班吃垮了 太好笑了
69e5e56e0000000014019803,effective_tokens_lt_min,它还看了你一眼
69e5b31f000000001401e008,effective_tokens_lt_min,一个猝不及防就被超了[抽泣R]
69e5156c000000001401cc10,effective_tokens_lt_min,跑的贼快笑死[捂脸R][笑哭R]
69e4d97e000000001401e800,effective_tokens_lt_min,哈哈哈哈哈，机器人这么快
69e4ceae0000000014018c10,effective_tokens_lt_min,这么一看，他跑的好快。
69e4c1a1000000001401c430,effective_tokens_lt_min,把“过”去掉
69e4b33f0000000014018826,effective_tokens_lt_min,这个跑到真好看
69e4ac2b0000000014019c01,effective_tokens_lt_min,给他浇点水
69e4aa080000000014019010,effective_tokens_lt_min,去超过这个[嘻嘻R]
69e49cc9000000001401a004,effective_tokens_lt_min,用什么拍的
69e49cb5000000001401c80d,effective_tokens_lt_min,这给你高兴的
69e497b9000000001401c001,effective_tokens_lt_min,拉爆它[汗颜R]
69e4840b000000001401c022,effective_tokens_lt_min,他好像还在看你
69e482b7000000001401cc07,effective_tokens_lt_min,太帅了[赞R][赞R]
69e475f2000000001401d814,effective_tokens_lt_min,好厉害[笑哭R]
69e466de0000000014018c12,effective_tokens_lt_min,机器人怎么你了[满月R]
69e8231e000000001401b00f,effective_tokens_lt_min,哈哈哈[捂脸R]
69e5b26a000000001401d821,effective_tokens_lt_min,@清川Asuka [笑哭R]
69e4f43c000000001401c42c,only_at_mentions,@Heydd
69e4cd91000000001401c834,only_at_mentions,@芊泽噜噜☘
69e4cc7e000000001401882e,only_at_mentions,@启禀大王女士� @恩恩妞宝
69e4b8ad000000001401e015,effective_tokens_lt_min,@m i i e
69e4b21a000000001401a027,only_at_mentions,@momo
69e491e0000000001401c813,only_at_mentions,@Yvonne
69e48d0f000000001401a816,effective_tokens_lt_min,@小小温 [呃R]
69e489b1000000001401e426,only_at_mentions,@小吴今天练了吗？
69e48892000000001401dc40,only_at_mentions,@心を照らせ
69e47a54000000001401d836,only_at_mentions,@转身跳进西湖
69e499490000000014019c24,effective_tokens_lt_min,马拉松啊这还是
69e4bc17000000001401d42f,effective_tokens_lt_min,哈哈哈，这么多人陪跑吗[笑哭R]
69e4bac0000000001401b001,effective_tokens_lt_min,这是灵缇吗 哈哈哈哈哈哈
69e47e9c000000001401a007,effective_tokens_lt_min,坐着跑，还挺快[笑哭R]
69e4589d000000001401cc0c,effective_tokens_lt_min,笑死哈哈哈哈哈哈哈你追了吗
69e48f20000000001401bc1d,effective_tokens_lt_min,哈哈哈哈哈 好快啊
69e49844000000001401881c,effective_tokens_lt_min,这也太快了
69e48d47000000001401e838,effective_tokens_lt_min,主播手挺稳啊[doge]
69e483810000000014018c11,effective_tokens_lt_min,哇晒 这个跑得快
69e4855a000000001401882d,effective_tokens_lt_min,这追的上吗
69e4a401000000001401e826,effective_tokens_lt_min,@#� 好快啊
69e4a2bf000000002a030261,only_at_mentions,@钱辈，请和我交往！
69e49f59000000001401ac18,effective_tokens_lt_min,这叫风驰电掣吧[笑哭R]
69e49db5000000001401e405,effective_tokens_lt_min,跑这么快是要去干啥呢[笑哭R]
