Topic,ctfidf_top_terms
-1,"可爱,马拉松,鲁班,小派,跑步,孩子,春晚,苍蝇,人类,蟑螂,认真,帽子,宝宝,七号,蚊子"
0,"机器人,人类,遥控,自主,机器,这些,马拉松,人形,比赛,玩具,人形机器人,机械,ai,为什么,小机器人"
1,"第一,倒数,搞笑,真的,解说,最后,好笑,加油,比赛,一名,欢乐,看热闹,意义,流量,人类"
2,"降温,喷雾,屁股,过热,云南白药,防晒,散热,电机,喷点,关节,一下,孩子,裤裆,太热,制冷剂"
3,"可爱,小小的,东西,喜欢,果然,好萌,真的,小时候,宝宝,眼睛,小东西,小玩意儿,小可爱,小家伙,你家"
4,"荣耀,宇树,第一个,闪电,撞线,遥控,机器人,厉害,参赛,华为,成绩,手机,比赛,终点,六名"
5,"短腿,腿短,这小,太短,小腿,倒腾,挺快,吃亏,输在,人家,大长,嘎嘎,主要,矮到,太细"
6,"奶瓶,奶嘴,可爱,脖子,手里,还拿个,手上,断奶,喝奶,甚至,炸药包,宝宝,安抚,宣布,营业"
7,"摔倒,随时,一秒,一步,绊倒,跪下,好怕,就要,一直,摔个,看着,它会,后脑勺,向前,大马"
8,"参加,未成年,儿童组,小朋友,参赛,幼儿园,成人,幼儿,一起,儿童,报名,公平,禁止,童工,迟到"
9,"鞋子,孩子,太大,大人,妈妈,太重,小孩,不快,是不是,行不行,拖累,嘎吱,买大,挺大,穿着"
10,"保安,一脚,大爷,大叔,田里,大哥,执勤,草丛,jio,花田错,工伤,跳进,安保,警察,绿化带"
11,"孩子,长大,小孩,大人,心疼,心血,上道,好怀念,不大,婆婆,看着,自家,小朋友,年龄,小孩子"
