method,k,perplexity,reconstruction_err,topic_diversity,largest_topic_share,smallest_topic_share
lda,5,541.356667992381,,0.9811671087533157,0.27040516735173226,0.15267175572519084
lda,7,578.4414552383475,,0.9828498449188104,0.23810921902524956,0.0995302407516148
lda,10,577.0573140039103,,0.9874049747612966,0.19318849089841456,0.0716382853787434
lda,12,608.7502158494724,,0.9925735184355874,0.18731650029359953,0.05783910745742807
nmf,5,,54.791635873226696,0.9568418171866447,0.3211978860833823,0.1183206106870229
nmf,7,,54.38477319509802,0.9640706857455625,0.2889019377568996,0.0745742806811509
nmf,10,,53.81805974108275,0.9699324940704251,0.1899588960657663,0.046095126247798004
nmf,12,,53.47665992643583,0.9661765437627506,0.1849677040516735,0.04462712859659425
