topic,n_comments,sum_likes,mean_like,max_like,viral_top1_share,viral_top5_share,viral_top1pct_share,like_gini,n_zero_like,post_dominance,dominant_post_id
0,4234,55579.0,13.126830420406236,8904.0,0.16020439374583925,0.40860756760647005,0.8519404811169686,0.9828840491003868,3128,0.4045819555975437,69e481e8000000002003ad94
1,3898,36488.0,9.36069779374038,4072.0,0.11159833369875027,0.4131769348827012,0.8449901337426003,0.983050634863656,2998,0.31759876859928166,69da7e87000000001a03484e
2,3223,64044.0,19.87092770710518,6956.0,0.10861282868028231,0.4523140341015552,0.8630004371994254,0.986039732651224,2385,0.21625814458578962,69e4426b000000001d01c7ed
3,2427,24365.0,10.03914297486609,7973.0,0.3272316847937615,0.6055817771393393,0.821998768725631,0.9775883544206613,1758,0.38813349814585907,69e481e8000000002003ad94
4,2334,29190.0,12.50642673521851,7631.0,0.2614251455978075,0.7145597807468311,0.8817403220280918,0.9872178643423858,1825,0.6075407026563839,69e481e8000000002003ad94
5,1706,17345.0,10.167057444314185,8645.0,0.4984145286826175,0.8172960507350822,0.9341597002017873,0.9925292077847774,1444,0.8599062133645955,69e481e8000000002003ad94
6,1010,4185.0,4.143564356435643,1030.0,0.24611708482676226,0.5591397849462365,0.6867383512544802,0.9605950057371327,749,0.689108910891089,69e481e8000000002003ad94
