topic_cluster,post_category,relation_type,n_comments,n_hit_comments,hit_rate
3,all,peer_worker,88,0,0.0
3,all,pet_cute,88,7,0.07954545454545454
3,all,species_competition,88,0,0.0
3,all,tool_toy,88,9,0.10227272727272728
3,all,warrior_hero,88,0,0.0
3,中性|观众,parenting,81,2,0.024691358024691357
3,中性|观众,peer_worker,81,0,0.0
3,中性|观众,pet_cute,81,7,0.08641975308641975
3,中性|观众,species_competition,81,0,0.0
3,中性|观众,tool_toy,81,4,0.04938271604938271
3,中性|观众,warrior_hero,81,0,0.0
3,中性|评价者,parenting,2,0,0.0
3,中性|评价者,peer_worker,2,0,0.0
3,中性|评价者,pet_cute,2,0,0.0
3,中性|评价者,species_competition,2,0,0.0
3,中性|评价者,tool_toy,2,1,0.5
3,中性|评价者,warrior_hero,2,0,0.0
3,失败|抢救者,parenting,31,1,0.03225806451612903
3,失败|抢救者,peer_worker,31,1,0.03225806451612903
3,失败|抢救者,pet_cute,31,1,0.03225806451612903
3,失败|抢救者,species_competition,31,1,0.03225806451612903
3,失败|抢救者,tool_toy,31,6,0.1935483870967742
3,失败|抢救者,warrior_hero,31,0,0.0
3,弱势|同伴,parenting,5,1,0.2
3,弱势|同伴,peer_worker,5,0,0.0
3,弱势|同伴,pet_cute,5,0,0.0
3,弱势|同伴,species_competition,5,0,0.0
3,弱势|同伴,tool_toy,5,0,0.0
3,弱势|同伴,warrior_hero,5,0,0.0
3,弱势|观众,parenting,32,1,0.03125
3,弱势|观众,peer_worker,32,0,0.0
3,弱势|观众,pet_cute,32,11,0.34375
3,弱势|观众,species_competition,32,0,0.0
3,弱势|观众,tool_toy,32,2,0.0625
3,弱势|观众,warrior_hero,32,0,0.0
3,强势|服务者,parenting,30,0,0.0
3,强势|服务者,peer_worker,30,0,0.0
3,强势|服务者,pet_cute,30,0,0.0
3,强势|服务者,species_competition,30,1,0.03333333333333333
3,强势|服务者,tool_toy,30,2,0.06666666666666667
3,强势|服务者,warrior_hero,30,0,0.0
3,成功|被超越者,parenting,16,0,0.0
3,成功|被超越者,peer_worker,16,0,0.0
3,成功|被超越者,pet_cute,16,0,0.0
3,成功|被超越者,species_competition,16,0,0.0
3,成功|被超越者,tool_toy,16,0,0.0
3,成功|被超越者,warrior_hero,16,0,0.0
3,成功|观众,parenting,32,0,0.0
3,成功|观众,peer_worker,32,0,0.0
3,成功|观众,pet_cute,32,1,0.03125
3,成功|观众,species_competition,32,0,0.0
3,成功|观众,tool_toy,32,6,0.1875
3,成功|观众,warrior_hero,32,0,0.0
4,all,parenting,233,3,0.012875536480686695
4,all,peer_worker,233,4,0.017167381974248927
4,all,pet_cute,233,6,0.02575107296137339
4,all,species_competition,233,20,0.08583690987124463
4,all,tool_toy,233,191,0.8197424892703863
4,all,warrior_hero,233,1,0.004291845493562232
4,中性|观众,parenting,132,5,0.03787878787878788
4,中性|观众,peer_worker,132,0,0.0
4,中性|观众,pet_cute,132,10,0.07575757575757576
4,中性|观众,species_competition,132,4,0.030303030303030304
4,中性|观众,tool_toy,132,84,0.6363636363636364
4,中性|观众,warrior_hero,132,0,0.0
4,中性|评价者,parenting,11,0,0.0
4,中性|评价者,peer_worker,11,0,0.0
4,中性|评价者,pet_cute,11,0,0.0
4,中性|评价者,species_competition,11,1,0.09090909090909091
4,中性|评价者,tool_toy,11,3,0.2727272727272727
4,中性|评价者,warrior_hero,11,0,0.0
4,失败|抢救者,parenting,162,0,0.0
4,失败|抢救者,peer_worker,162,2,0.012345679012345678
4,失败|抢救者,pet_cute,162,3,0.018518518518518517
4,失败|抢救者,species_competition,162,3,0.018518518518518517
4,失败|抢救者,tool_toy,162,121,0.7469135802469136
