Topic,Count,Name,Representation,Representative_Docs
-1,636,-1_可爱_小小的_不错_玩意,"['可爱', '小小的', '不错', '玩意', '还拿个', '参加', '人家', '看着', '第一名', '好像']","['小派好可爱', '对呀，超可爱哈哈，还拿着奶瓶', '怎么能让孩子参加这个？！！[笑哭R]']"
0,466,0_可爱_小可爱_小小的_喜欢,"['可爱', '小可爱', '小小的', '喜欢', '好好笑', '看起来', '开心', '小东西', '可不', '好像']","['这个真的太可爱了[偷笑R]', '真的好可爱啊，越看越可爱。[害羞R]', '好可爱好可爱[皱眉R][皱眉R][皱眉R][皱眉R]']"
1,260,1_机器人_小机器人_人形机器人_机器,"['机器人', '小机器人', '人形机器人', '机器', '机器人马拉松', '机器狗', '有人', '可爱', '玩具', '机械狗']","['是被大机器人嘲笑的那个机器人吗', '最可爱的机器人[害羞R]', '好可爱的机器人']"
2,128,2_短腿_腿短_太短_小腿,"['短腿', '腿短', '太短', '小腿', '这小', '跑得慢', '太小', '越腿长', '小小的', '这小细']","['这小短腿儿[笑哭R]', '这小短腿[偷笑R]', '这小短腿其实倒腾挺快的[笑哭R][笑哭R]']"
