robot_status,topic,mean_share_post_averaged,n_posts_in_status
,0,0.034050179211469536,1
,1,0.23297491039426524,1
,2,0.1388888888888889,1
,3,0.03942652329749104,1
,4,0.08870967741935484,1
,5,0.015232974910394265,1
,6,0.024193548387096774,1
,7,0.05555555555555555,1
,8,0.0017921146953405018,1
,9,0.04032258064516129,1
,10,0.043010752688172046,1
,11,0.011648745519713262,1
,12,0.0017921146953405018,1
,13,0.0931899641577061,1
,14,0.005376344086021506,1
,15,0.036738351254480286,1
,16,0.007168458781362007,1
,17,0.00985663082437276,1
,18,0.005376344086021506,1
,19,0.024193548387096774,1
,20,0.014336917562724014,1
,21,0.024193548387096774,1
,22,0.0017921146953405018,1
,23,0.016129032258064516,1
,24,0.01881720430107527,1
,25,0.002688172043010753,1
,26,0.008960573476702509,1
,27,0.0017921146953405018,1
,28,0.0017921146953405018,1
中性,0,0.03125853125853126,3
中性,1,0.2422877422877423,3
中性,2,0.12203112203112203,3
中性,3,0.19587769587769588,3
中性,4,0.026208026208026206,3
中性,5,0.03357903357903358,3
中性,6,0.0012285012285012285,3
中性,7,0.025116025116025117,3
中性,8,0.030166530166530165,3
中性,9,0.01760851760851761,3
中性,10,0.0389025389025389,3
中性,11,0.01638001638001638,3
中性,12,0.003685503685503685,3
中性,13,0.0032760032760032758,3
中性,14,0.0008190008190008189,3
中性,15,0.04204204204204204,3
中性,16,0.0,3
中性,17,0.01597051597051597,3
中性,18,0.042861042861042864,3
中性,19,0.004095004095004095,3
中性,20,0.02962052962052962,3
中性,21,0.028528528528528527,3
中性,22,0.006961506961506961,3
中性,23,0.0028665028665028664,3
中性,24,0.013923013923013922,3
中性,25,0.0008190008190008189,3
中性,26,0.01132951132951133,3
中性,27,0.01173901173901174,3
中性,28,0.0008190008190008189,3
失败,0,0.10240497733983923,3
失败,1,0.18153657471010257,3
失败,2,0.15771313973502613,3
失败,3,0.03971712960769761,3
失败,4,0.03978292566098715,3
失败,5,0.009569377990430622,3
失败,6,0.00696648612229644,3
失败,7,0.003189792663476874,3
失败,8,0.147272621999042,3
失败,9,0.01393297224459288,3
失败,10,0.002126528442317916,3
失败,11,0.010953726951642533,3
失败,12,0.003189792663476874,3
失败,13,0.13056305630563056,3
失败,14,0.001594896331738437,3
失败,15,0.007974481658692184,3
失败,16,0.0016501650165016502,3
失败,17,0.001063264221158958,3
失败,18,0.0,3
失败,19,0.014143519615119407,3
失败,20,0.0,3
失败,21,0.015793684631621056,3
失败,22,0.002713429237660608,3
失败,23,0.001063264221158958,3
失败,24,0.0,3
失败,25,0.06015075191729699,3
失败,26,0.02089945836688932,3
失败,27,0.0033003300330033004,3
失败,28,0.02073365231259968,3
弱势,0,0.028635062338507725,4
弱势,1,0.41827498023899196,4
弱势,2,0.0932734524971936,4
弱势,3,0.02571176161914061,4
弱势,4,0.015120824449182658,4
弱势,5,0.013288829550511794,4
弱势,6,0.004285714285714286,4
弱势,7,0.018763160167121668,4
弱势,8,0.029401125215046266,4
弱势,9,0.002818052594171997,4
弱势,10,0.11599708400587186,4
弱势,11,0.0042075337597725655,4
弱势,12,0.007574543836226079,4
弱势,13,0.002857142857142857,4
弱势,14,0.0009523809523809524,4
弱势,15,0.023839480833482786,4
弱势,16,0.0,4
弱势,17,0.0004761904761904762,4
弱势,18,0.0640552577566108,4
弱势,19,0.010779779340945473,4
弱势,20,0.04159323542501112,4
弱势,21,0.007020172834093882,4
弱势,22,0.002818052594171997,4
弱势,23,0.047700117569694916,4
弱势,24,0.0,4
弱势,25,0.002336448598130841,4
弱势,26,0.002818052594171997,4
弱势,27,0.0,4
弱势,28,0.015401563610518833,4
强势,0,0.3220636663007684,1
强势,1,0.06081229418221734,1
强势,2,0.09001097694840834,1
强势,3,0.12008781558726674,1
强势,4,0.04632272228320527,1
强势,5,0.04588364434687157,1
强势,6,0.05159165751920966,1
强势,7,0.010976948408342482,1
强势,8,0.008122941822173435,1
强势,9,0.030515916575192096,1
强势,10,0.0010976948408342481,1
强势,11,0.0050493962678375415,1
强势,12,0.03490669593852909,1
强势,13,0.001756311745334797,1
强势,14,0.04676180021953897,1
强势,15,0.021514818880351262,1
强势,16,0.006366630076838639,1
强势,17,0.027661909989023053,1
强势,18,0.0013172338090010978,1
强势,19,0.014928649835345774,1
强势,20,0.0021953896816684962,1
强势,21,0.01141602634467618,1
强势,22,0.015806805708013173,1
强势,23,0.001756311745334797,1
强势,24,0.01119648737650933,1
强势,25,0.0008781558726673985,1
强势,26,0.00570801317233809,1
强势,27,0.0002195389681668496,1
强势,28,0.0030735455543358945,1
成功,0,0.0477829656704459,4
成功,1,0.17271017255637394,4
成功,2,0.06094314295155774,4
成功,3,0.08797927433617433,4
成功,4,0.07154172251083196,4
成功,5,0.02570065206974272,4
成功,6,0.05087382489618158,4
成功,7,0.05410576227914646,4
成功,8,0.013901562742003033,4
成功,9,0.025189632527220365,4
成功,10,0.002543740169609703,4
成功,11,0.0893192896789918,4
成功,12,0.009025717111770524,4
成功,13,0.006376578943101296,4
成功,14,0.0008654797230464886,4
成功,15,0.16042224059930923,4
成功,16,0.019712046795593303,4
成功,17,0.01006872396851144,4
成功,18,0.009009257410989013,4
成功,19,0.01595133715673661,4
成功,20,0.004574678536102868,4
成功,21,0.007613572634318147,4
成功,22,0.004398339576137894,4
成功,23,0.005564392306449295,4
成功,24,0.000370919881305638,4
成功,25,0.0024201002091744908,4
成功,26,0.005829320101830683,4
成功,27,0.009643916913946587,4
成功,28,0.025561635743396968,4
