mcs,n_docs,n_topics,raw_outlier_rate,assigned_outlier_rate,valid_docs,largest_topic,largest_share_valid,largest_share_all,median_topic_size,p25_topic_size,p75_topic_size,min_topic_size,n_topics_ge_80,n_topics_ge_100
30,10910,50,0.4778185151237397,0.4778185151237397,5697,0,0.10005265929436545,0.05224564619615032,75.0,47.0,128.75,31,24,17
50,10910,28,0.4396883593033914,0.4396883593033914,6113,0,0.1504989366922951,0.0843263061411549,127.0,85.75,225.5,60,23,17
80,10910,3,0.0030247479376718607,0.0030247479376718607,10877,0,0.9390456927461617,0.936205316223648,576.0,331.5,5395.0,87,3,2
100,10910,2,0.009440879926672778,0.009440879926672778,10807,0,0.9467012121772925,0.9377635197066911,5403.5,2989.75,7817.25,576,2,2
