method,k_or_mcs,n_topics,outlier_rate,silhouette,dbcv,mean_ari,min_ari,largest_share,smallest_share
hdbscan,30,2.0,0.02927478376580173,0.56890469789505,0.39427785277651856,1.0,1.0,0.7347498286497601,0.26525017135023987
hdbscan,50,2.0,0.015302727877578177,0.5582767128944397,0.38353243245047525,1.0,1.0,0.7385135135135135,0.2614864864864865
hdbscan,80,2.0,0.023952095808383235,0.5625064969062805,0.40014321666293806,1.0,1.0,0.7375596455351057,0.26244035446489433
hdbscan,100,2.0,0.030605455755156354,0.5655634999275208,0.45552686434096534,1.0,1.0,0.7364447494852436,0.26355525051475637
hdbscan,200,2.0,0.1383898868928809,0.6369743943214417,0.5037740094877265,1.0,1.0,0.7227799227799228,0.27722007722007724
kmeans,5,5.0,0.0,0.42531344294548035,,1.0,1.0,0.25748502994011974,0.13107119095143047
kmeans,7,7.0,0.0,0.3628494441509247,,0.7592102382502247,0.6635389298411569,0.23885562208915503,0.07052561543579508
kmeans,10,10.0,0.0,0.3956657946109772,,0.8894922666775148,0.834238400016272,0.19627411842980705,0.043912175648702596
