cluster,post_category,count,share_in_cluster
0,强势|服务者,68,0.3333333333333333
0,all,31,0.15196078431372548
0,成功|观众,30,0.14705882352941177
0,失败|抢救者,27,0.1323529411764706
0,弱势|观众,22,0.10784313725490197
0,中性|观众,19,0.09313725490196079
0,弱势|同伴,3,0.014705882352941176
0,中性|评价者,2,0.00980392156862745
0,成功|被超越者,2,0.00980392156862745
1,中性|观众,77,0.23839009287925697
1,all,59,0.1826625386996904
1,强势|服务者,52,0.1609907120743034
1,失败|抢救者,41,0.12693498452012383
1,成功|观众,41,0.12693498452012383
1,弱势|观众,24,0.07430340557275542
1,弱势|同伴,15,0.04643962848297214
1,成功|被超越者,9,0.02786377708978328
1,中性|评价者,3,0.009287925696594427
1,失败|观众,2,0.006191950464396285
2,强势|服务者,2,0.3333333333333333
2,成功|观众,2,0.3333333333333333
2,all,1,0.16666666666666666
2,中性|观众,1,0.16666666666666666
3,all,88,0.277602523659306
3,中性|观众,81,0.2555205047318612
3,弱势|观众,32,0.10094637223974763
3,成功|观众,32,0.10094637223974763
3,失败|抢救者,31,0.09779179810725552
3,强势|服务者,30,0.0946372239747634
3,成功|被超越者,16,0.050473186119873815
3,弱势|同伴,5,0.015772870662460567
3,中性|评价者,2,0.006309148264984227
4,强势|服务者,848,0.4144672531769306
4,成功|观众,463,0.2262952101661779
4,all,233,0.11388074291300097
4,失败|抢救者,162,0.07917888563049853
4,中性|观众,132,0.06451612903225806
4,弱势|观众,99,0.04838709677419355
4,成功|被超越者,54,0.026392961876832845
4,弱势|同伴,33,0.016129032258064516
4,中性|评价者,11,0.005376344086021506
4,失败|观众,10,0.004887585532746823
4,成功|服务者,1,0.0004887585532746823
5,强势|服务者,982,0.30880503144654087
5,成功|观众,571,0.17955974842767294
5,all,456,0.14339622641509434
5,中性|观众,448,0.14088050314465408
5,弱势|观众,271,0.08522012578616352
5,失败|抢救者,256,0.08050314465408805
5,成功|被超越者,80,0.025157232704402517
5,弱势|同伴,76,0.02389937106918239
5,中性|评价者,18,0.005660377358490566
5,失败|观众,17,0.005345911949685534
5,成功|服务者,3,0.0009433962264150943
5,弱势|评价者,2,0.0006289308176100629
6,中性|观众,187,0.3702970297029703
6,all,109,0.21584158415841584
6,成功|观众,55,0.10891089108910891
6,失败|抢救者,52,0.10297029702970296
6,弱势|观众,38,0.07524752475247524
6,弱势|同伴,29,0.05742574257425743
6,成功|被超越者,16,0.031683168316831684
6,强势|服务者,15,0.0297029702970297
6,中性|评价者,3,0.005940594059405941
6,失败|观众,1,0.0019801980198019802
7,成功|观众,201,0.32576985413290116
7,强势|服务者,125,0.2025931928687196
7,all,78,0.12641815235008103
7,失败|抢救者,69,0.11183144246353323
7,中性|观众,53,0.08589951377633712
7,弱势|观众,49,0.07941653160453808
7,成功|被超越者,24,0.03889789303079417
7,弱势|同伴,14,0.022690437601296597
7,中性|评价者,3,0.004862236628849271
7,失败|观众,1,0.0016207455429497568
8,中性|观众,56,0.4057971014492754
8,all,20,0.14492753623188406
8,成功|观众,19,0.13768115942028986
8,失败|抢救者,13,0.09420289855072464
8,弱势|观众,11,0.07971014492753623
8,弱势|同伴,10,0.07246376811594203
8,强势|服务者,4,0.028985507246376812
8,成功|被超越者,3,0.021739130434782608
8,中性|评价者,2,0.014492753623188406
9,强势|服务者,1016,0.24950884086444008
9,成功|观众,758,0.18614931237721022
9,中性|观众,675,0.16576620825147348
9,all,564,0.13850687622789784
9,失败|抢救者,438,0.1075638506876228
9,弱势|观众,311,0.07637524557956778
9,弱势|同伴,181,0.044449901768172886
9,成功|被超越者,96,0.023575638506876228
9,中性|评价者,18,0.0044204322200392925
9,失败|观众,14,0.00343811394891945
9,弱势|评价者,1,0.0002455795677799607
10,强势|服务者,334,0.567062818336163
10,成功|观众,78,0.13242784380305603
10,all,65,0.11035653650254669
10,中性|观众,39,0.06621392190152801
10,弱势|观众,35,0.059422750424448216
10,失败|抢救者,21,0.035653650254668934
10,弱势|同伴,8,0.013582342954159592
10,成功|被超越者,5,0.008488964346349746
10,失败|观众,2,0.003395585738539898
10,中性|评价者,1,0.001697792869269949
10,弱势|评价者,1,0.001697792869269949
11,all,2,0.6666666666666666
11,弱势|同伴,1,0.3333333333333333
