method,topic,size,share,top_terms
tfidf_kmeans,9,4072,0.3393333333333333,"石化, 不是, 遥控, 什么, 人类, 土豆, 干嘛, 能跑, 见过, 控器, 豆豆, 是不, 诡异, 发展, 好诡"
tfidf_kmeans,5,3180,0.265,"捂脸, 笑哭, 笑死, 这个, 可爱, 降温, 那个, 感觉, 还有, 怎么, 真的, 就是, 小红, 有点, 红薯"
tfidf_kmeans,4,2046,0.1705,"机器, 器人, doge, 什么, 不是, 一个, 遥控, 马拉, 笑哭, 拉松, 个机, 的机, 可以, 偷笑, 以后"
tfidf_kmeans,7,617,0.051416666666666666,"这么, 大笑, 搞笑, 还是, 呃, 进步, 赞, 哭惹, 么快, 快了, 笑哭, 的小, wd40, 好搞, 跑这"
tfidf_kmeans,10,589,0.04908333333333333,"意义, 散热, 电池, 大王, 换电, 喜欢, 派对, 世界, 有意, 意思, 起来, 来的, 什么, 在哪, 的意"
lda_char_bigram,0,1007,,"着跑, 跟着, 评论, 我了, 低血, 血糖, 死我, 还得, 论区, 后面, 个人, 120, 有个, 镜头, 了哈"
lda_char_bigram,2,820,,"这样, 一样, 最后, 以为, 孩子, 好笑, 跑步, 姿势, 我也, 不过, 样的, 也是, 看着, 我以, 个跑"
lda_char_bigram,8,819,,"机器, 器人, 个机, 个人, 的机, 三个, 人跑, 人也, 是机, 服务, 不用, 人都, 人类, 人服, 需要"
lda_char_bigram,7,790,,"降温, 电池, 的是, 工作, 冰块, 润滑, 人员, 不稳, 后面, 干冰, 换电, 地上, 站不, 作人, 该是"
lda_char_bigram,9,747,,"遥控, 意义, 控器, 不行, 行了, 有什, 控的, 搞笑, 奶瓶, 第一, 是遥, 拿着, 我不, 玩具, 知道"
tfidf_nmf,11,4661,0.3884166666666667,"这个, 一个, 不是, 可以, 个人, 石化, 是不, 个机, 就是, 这么, 降温, 三个, 感觉, 还有, 怎么"
tfidf_nmf,0,2047,0.17058333333333334,"哈哈, 了哈, 啊哈, 哈好, 哈我, 哈笑, 好笑, 哈这, 我也, 搞笑, 哈太, 笑哈, 好玩, 120, 笑了"
tfidf_nmf,2,1018,0.08483333333333333,"机器, 器人, 的机, 个机, 是机, 马拉, 拉松, 人形, 人跑, 人也, 人的, 以后, 形机, 人类, 是人"
tfidf_nmf,1,783,0.06525,"笑哭, 哭了, 搞笑, 直接, 怎么, 还有, wd40, 上了, 了吗, 不能, 开心, 担架, 看着, 停下, 感觉"
tfidf_nmf,9,746,0.06216666666666667,"什么, 意义, 为什, 有什, 是什, 么意, 马拉, 拉松, 义是, 的意, 跑马, 么不, 么要, 人跑, 时候"
