comment_level,reference_type,n_comments,n_hit_comments,hit_rate,avg_hits_per_hit_comment,median_like_when_hit
1,feminized,16808,34,0.00202284626368396,1.0,0.0
1,infantilized,16808,260,0.01546882436934793,1.0923076923076922,0.0
1,masculinized,16808,612,0.03641123274631128,1.2287581699346406,0.0
1,non_human,16808,3091,0.18390052356020942,1.8346813329019735,0.0
2,feminized,14437,30,0.0020779940430837433,1.0333333333333334,0.0
2,infantilized,14437,157,0.010874835492138257,1.0445859872611465,0.0
2,masculinized,14437,492,0.034079102306573385,1.2398373983739837,0.0
2,non_human,14437,2003,0.13874073560989125,1.8846729905142288,0.0
