nmf_topic,post_category,count,share_in_topic
0,all,441,0.2154372252076209
0,中性|观众,609,0.2975085490962384
0,中性|评价者,12,0.005862237420615535
0,失败|抢救者,240,0.1172447484123107
0,失败|观众,2,0.0009770395701025891
0,弱势|同伴,129,0.063019052271617
0,弱势|观众,176,0.08597948216902784
0,强势|服务者,120,0.05862237420615535
0,成功|被超越者,61,0.02979970688812897
0,成功|观众,257,0.1255495847581827
1,all,117,0.14942528735632185
1,中性|观众,130,0.16602809706257982
1,中性|评价者,6,0.007662835249042145
1,失败|抢救者,73,0.09323116219667944
1,失败|观众,6,0.007662835249042145
1,弱势|同伴,25,0.031928480204342274
1,弱势|观众,72,0.09195402298850575
1,强势|服务者,192,0.24521072796934865
1,成功|服务者,1,0.001277139208173691
1,成功|被超越者,29,0.037037037037037035
1,成功|观众,132,0.1685823754789272
2,all,129,0.12671905697445973
2,中性|观众,63,0.0618860510805501
2,中性|评价者,2,0.0019646365422396855
2,失败|抢救者,104,0.10216110019646366
2,失败|观众,7,0.0068762278978389
2,弱势|同伴,12,0.011787819253438114
2,弱势|观众,47,0.04616895874263261
2,强势|服务者,405,0.39783889980353637
2,成功|被超越者,23,0.022593320235756387
2,成功|观众,226,0.2220039292730845
3,all,59,0.14460784313725492
3,中性|观众,68,0.16666666666666666
3,中性|评价者,2,0.004901960784313725
3,失败|抢救者,46,0.11274509803921569
3,失败|观众,1,0.0024509803921568627
3,弱势|同伴,14,0.03431372549019608
3,弱势|观众,35,0.0857843137254902
3,弱势|评价者,1,0.0024509803921568627
3,强势|服务者,97,0.23774509803921567
3,成功|被超越者,17,0.041666666666666664
3,成功|观众,68,0.16666666666666666
4,all,31,0.15897435897435896
4,中性|观众,78,0.4
4,中性|评价者,2,0.010256410256410256
4,失败|抢救者,20,0.10256410256410256
4,弱势|同伴,16,0.08205128205128205
4,弱势|观众,13,0.06666666666666667
4,强势|服务者,8,0.041025641025641026
4,成功|被超越者,3,0.015384615384615385
4,成功|观众,24,0.12307692307692308
5,all,54,0.09523809523809523
5,中性|观众,54,0.09523809523809523
5,中性|评价者,8,0.014109347442680775
5,失败|抢救者,46,0.08112874779541446
5,失败|观众,2,0.003527336860670194
5,弱势|同伴,16,0.02821869488536155
5,弱势|观众,29,0.05114638447971781
5,强势|服务者,200,0.3527336860670194
5,成功|服务者,1,0.001763668430335097
5,成功|被超越者,19,0.03350970017636684
5,成功|观众,138,0.24338624338624337
6,all,50,0.11764705882352941
6,中性|观众,35,0.08235294117647059
6,中性|评价者,6,0.01411764705882353
6,失败|抢救者,37,0.08705882352941176
6,失败|观众,4,0.009411764705882352
6,弱势|同伴,10,0.023529411764705882
6,弱势|观众,41,0.09647058823529411
6,强势|服务者,151,0.3552941176470588
6,成功|被超越者,16,0.03764705882352941
6,成功|观众,75,0.17647058823529413
7,all,89,0.312280701754386
7,中性|观众,100,0.3508771929824561
7,中性|评价者,2,0.007017543859649123
7,失败|抢救者,27,0.09473684210526316
7,弱势|同伴,16,0.056140350877192984
7,弱势|观众,9,0.031578947368421054
7,强势|服务者,11,0.03859649122807018
7,成功|观众,31,0.10877192982456141
8,all,91,0.228643216080402
8,中性|观众,101,0.2537688442211055
8,中性|评价者,3,0.007537688442211055
8,失败|抢救者,12,0.03015075376884422
8,弱势|同伴,12,0.03015075376884422
8,弱势|观众,118,0.2964824120603015
8,弱势|评价者,1,0.002512562814070352
8,强势|服务者,30,0.07537688442211055
8,成功|被超越者,3,0.007537688442211055
8,成功|观众,27,0.0678391959798995
9,all,70,0.0938337801608579
9,中性|观众,69,0.09249329758713137
9,中性|评价者,1,0.0013404825737265416
9,失败|抢救者,54,0.07238605898123325
9,失败|观众,3,0.004021447721179625
9,弱势|同伴,1,0.0013404825737265416
9,弱势|观众,40,0.05361930294906166
9,强势|服务者,332,0.4450402144772118
9,成功|被超越者,15,0.020107238605898123
9,成功|观众,161,0.2158176943699732
10,all,30,0.06423982869379015
10,中性|观众,28,0.059957173447537475
10,中性|评价者,4,0.008565310492505354
10,失败|抢救者,21,0.044967880085653104
10,失败|观众,1,0.0021413276231263384
10,弱势|同伴,6,0.01284796573875803
10,弱势|观众,14,0.029978586723768737
10,强势|服务者,307,0.6573875802997858
10,成功|被超越者,8,0.017130620985010708
10,成功|观众,48,0.10278372591006424
11,all,545,0.11692769791890152
11,中性|观众,433,0.09289851963098048
11,中性|评价者,15,0.0032181935207037118
11,失败|抢救者,430,0.09225488092683973
11,失败|观众,21,0.004505470928985196
11,弱势|同伴,118,0.02531645569620253
11,弱势|观众,298,0.06393477794464707
11,弱势|评价者,2,0.00042909246942716153
11,强势|服务者,1623,0.3482085389401416
11,成功|服务者,2,0.00042909246942716153
11,成功|被超越者,111,0.023814632053207465
11,成功|观众,1063,0.22806264750053637
