category,comments_with_hit,share_in_all_comments,avg_hits_per_hit_comment,median_like_when_hit,mean_like_when_hit
non_human,5094,0.1630340854536726,1.8543384373773066,0.0,17.24440518256773
masculinized,1104,0.03533365338454152,1.233695652173913,0.0,26.032608695652176
infantilized,417,0.013346135381661066,1.0743405275779376,0.0,28.203836930455637
feminized,64,0.00204832773243719,1.015625,0.0,105.46875
