reference_type,term,n_comments,share_in_all_comments,median_like
feminized,她,48,0.0015362457993278924,0.0
feminized,美女,9,0.0002880460873739798,0.0
feminized,妹妹,6,0.00019203072491598655,0.0
feminized,小姐姐,2,6.401024163866218e-05,1.0
infantilized,小孩,148,0.004736757881261002,0.0
infantilized,娃,82,0.0026244199071851497,0.0
infantilized,宝宝,77,0.0024643943030884944,0.0
infantilized,小朋友,39,0.0012481997119539127,0.0
infantilized,宝贝,31,0.000992158745399264,0.0
infantilized,儿子,18,0.0005760921747479596,0.0
infantilized,崽,18,0.0005760921747479596,0.5
infantilized,娃娃,15,0.00048007681228996637,0.0
infantilized,小家伙,13,0.0004160665706513042,0.0
infantilized,闺女,5,0.00016002560409665546,0.0
infantilized,崽崽,2,6.401024163866218e-05,0.5
masculinized,他,1019,0.03261321811489838,0.0
masculinized,他们,248,0.007937269963194112,0.0
masculinized,小哥,32,0.001024163866218595,0.0
masculinized,兄弟,25,0.0008001280204832773,0.0
masculinized,哥们,25,0.0008001280204832773,0.0
masculinized,大哥,12,0.0003840614498319731,0.0
masculinized,老哥,1,3.200512081933109e-05,0.0
non_human,机器,4240,0.13570171227396383,0.0
non_human,机器人,3973,0.12715634501520243,0.0
non_human,它,702,0.022467594815170428,0.0
non_human,这玩意,197,0.006305008801408225,0.0
non_human,机械,130,0.004160665706513042,0.0
non_human,它们,81,0.0025924147863658187,0.0
non_human,机器狗,74,0.002368378940630501,0.0
non_human,这东西,31,0.000992158745399264,0.0
non_human,那玩意,14,0.0004480716914706353,0.0
non_human,铁疙瘩,4,0.00012802048327732437,0.0
