relation_type,n_hit_comments,hit_rate,avg_hits_per_hit_comment,median_like_when_hit
tool_toy,5150,0.16482637221955512,1.8477669902912621,0.0
pet_cute,799,0.025572091534645545,1.0550688360450564,0.0
species_competition,747,0.023907825252040327,1.0562248995983936,0.0
parenting,589,0.018851016162586012,1.130730050933786,0.0
warrior_hero,214,0.006849095855336854,1.2897196261682242,0.0
peer_worker,165,0.00528084493518963,1.006060606060606,0.0
