Topic,ctfidf_top_terms
-1,"遥控,本人,凉面,严肃,评论,名状,机器人,知道,地球,之后,麻酱,统治,厉害,自主,当做"
0,"比赛,孩子,真的,跑步,最后,人家,马拉松,参加,表演,一样,评论,可爱,看着,开始,晚上"
1,"机器人,人类,机器,跑步,统治,马拉松,本人,ai,比赛,未来,世界,地球,之后,公司,评论"
