method,k,perplexity,reconstruction_err,topic_diversity,largest_topic_share,smallest_topic_share
lda,5,1030.2005740341992,,0.9637383689107827,0.24808373856424626,0.1702794032803099
lda,7,1089.5941348712101,,0.9696092996585608,0.19508777713673453,0.11555262507211736
lda,10,1119.8778608477605,,0.9652669595198331,0.12997609824445727,0.08151322838539521
lda,12,1156.623223997941,,0.9687745204986584,0.13005851809115634,0.06527651858567543
nmf,5,,106.36482350330893,0.9194648646372784,0.38918651611308,0.07648561773675101
nmf,7,,105.68721023246619,0.9473511892231105,0.20489573889392565,0.06931509107393061
nmf,10,,104.81606388336978,0.9469442690132345,0.19088436495508118,0.04541333553119591
nmf,12,,104.30820914252186,0.9574158918986505,0.16516937278496663,0.04384735844391329
