Topic,ctfidf_top_terms
0,"评论,真的,孩子,ppt,欣赏,心血,意义,反复,老人,加油,知道,别人,好像,豆包,问题"
1,"机器人,人类,机器,轮子,人形,ai,小机器人,肯定,机械,人形机器人,为什么,机器狗,形态,需要,马拉松"
2,"奶瓶,孩子,参加,马拉松,小朋友,幼儿园,参赛,未成年,红领巾,学校,人家,成人,喝奶,儿童,宝宝"
3,"可爱,小派,苍蝇,小小的,蟑螂,东西,蚊子,喜欢,老鼠,小鼻嘎,真的,宝宝,感谢,小时候,卤蛋"
4,"鞋子,短腿,孩子,腿短,这小,太大,步伐,挺快,太短,小腿,倒腾,矫健,跑得慢,大人,跑步"
5,"第一,倒数,摔倒,最后,一步,随时,一名,一秒,没电,绊倒,大湾,第一名,比赛,以为,跪下"
6,"鲁班,七号,好像,王者,一抓,皮肤,有点像,cos,峡谷,二爹,刺客,胞弟,一死,正好,250"
