layer,n,base_mcs,final_nr,n_topics,silhouette_5d,dbcv_5d,outlier_rate,largest_share,c_v,c_npmi,topic_diversity,notes
L1,15901,30,90,89,0.6589654612482413,0.3299691031593206,0.4331803031255896,0.07644513480528126,0.604646634857185,0.014429130882829422,0.9994862880729232,
L2,10910,30,45,44,0.6190868621491525,0.22609358517570968,0.4778185151237397,0.10005265929436545,0.5047161818975856,-0.12544440330668988,0.9989800081599347,
Pooled,26811,50,85,84,0.6560445419578769,0.30139700452275847,0.44418335757711386,0.07576164273251912,0.5586813883111652,-0.06291079278682704,0.9991662556659386,
