excluded_post_id,robot_status,topic,delta_mean_share
69e42cc100000000220001ad,弱势,0,-0.004918534198873614
69e42cc100000000220001ad,弱势,1,-0.00427388476578329
69e42cc100000000220001ad,弱势,2,-0.004739372729938754
69e42cc100000000220001ad,弱势,3,0.0017983265378818947
69e42cc100000000220001ad,弱势,4,0.008000724739346043
69e42cc100000000220001ad,弱势,5,0.010742323655551278
69e42cc100000000220001ad,弱势,6,-0.006609583238183642
69e43b14000000001a02e095,弱势,0,0.007987600833823827
69e43b14000000001a02e095,弱势,1,-0.0008221839449713692
69e43b14000000001a02e095,弱势,2,0.0020698699459239522
69e43b14000000001a02e095,弱势,3,-0.03564039067533055
69e43b14000000001a02e095,弱势,4,0.010072619281304401
69e43b14000000001a02e095,弱势,5,0.005656150323595233
69e43b14000000001a02e095,弱势,6,0.010676334235654478
69e48d54000000002102e178,弱势,0,-0.014098890448633133
69e48d54000000002102e178,弱势,1,0.0037744359359441065
69e48d54000000002102e178,弱势,2,-0.012805005784992038
69e48d54000000002102e178,弱势,3,0.010599734609285733
69e48d54000000002102e178,弱势,4,-0.002593473698694976
69e48d54000000002102e178,弱势,5,0.012226377054543325
69e48d54000000002102e178,弱势,6,0.0028968223325469555
69e59e520000000022027a90,弱势,0,0.021623355284192403
69e59e520000000022027a90,弱势,1,0.0052626571236997904
69e59e520000000022027a90,弱势,2,0.008825689658653046
69e59e520000000022027a90,弱势,3,0.014650376448755331
69e59e520000000022027a90,弱势,4,-0.021963624636768042
69e59e520000000022027a90,弱势,5,-0.032911865292755305
69e59e520000000022027a90,弱势,6,0.00451341141422279
69e6f2bc0000000023005345,弱势,0,-0.01059353147050951
69e6f2bc0000000023005345,弱势,1,-0.003941024348889252
69e6f2bc0000000023005345,弱势,2,0.006648818910353738
69e6f2bc0000000023005345,弱势,3,0.008591953079407605
69e6f2bc0000000023005345,弱势,4,0.006483754314812601
69e6f2bc0000000023005345,弱势,5,0.004287014259065414
69e6f2bc0000000023005345,弱势,6,-0.01147698474424061
