topic_id,帖子id,raw_count,share_raw
0,69e481e8000000002003ad94,408,0.5921625544267054
0,69e47f8f000000001f007203,32,0.04644412191582003
0,69df625d0000000021005c63,29,0.0420899854862119
0,69da7e87000000001a03484e,27,0.03918722786647315
0,69e59e520000000022027a90,24,0.03483309143686502
1,69da7e87000000001a03484e,255,0.425
1,69e481e8000000002003ad94,89,0.14833333333333334
1,69e47f8f000000001f007203,59,0.09833333333333333
1,69e42cc100000000220001ad,22,0.03666666666666667
1,69df625d0000000021005c63,21,0.035
2,69e481e8000000002003ad94,77,0.22126436781609196
2,69e47f8f000000001f007203,35,0.10057471264367816
2,69e59e520000000022027a90,31,0.08908045977011494
2,69e2583b00000000230211ea,25,0.07183908045977011
2,69da7e87000000001a03484e,23,0.06609195402298851
3,69e2583b00000000230211ea,117,0.3611111111111111
3,69e42cc100000000220001ad,43,0.13271604938271606
3,69da7e87000000001a03484e,36,0.1111111111111111
3,69e44171000000001a026b25,29,0.08950617283950617
3,69e481e8000000002003ad94,25,0.07716049382716049
4,69e447d2000000001d01aa01,172,0.5791245791245792
4,69e481e8000000002003ad94,64,0.21548821548821548
4,69da7e87000000001a03484e,13,0.04377104377104377
4,69e2583b00000000230211ea,8,0.026936026936026935
4,69e47f8f000000001f007203,8,0.026936026936026935
5,69da7e87000000001a03484e,149,0.6834862385321101
5,69e481e8000000002003ad94,15,0.06880733944954129
5,69e45dbe000000001f00434f,10,0.045871559633027525
5,69e47f8f000000001f007203,8,0.03669724770642202
5,69df625d0000000021005c63,7,0.03211009174311927
6,69e481e8000000002003ad94,65,0.30092592592592593
6,69da7e87000000001a03484e,38,0.17592592592592593
6,69e47f8f000000001f007203,20,0.09259259259259259
6,69e40352000000002102fc75,16,0.07407407407407407
6,69e59e520000000022027a90,13,0.06018518518518518
7,69da7e87000000001a03484e,92,0.4444444444444444
7,69e481e8000000002003ad94,67,0.32367149758454106
7,69e44278000000001a0217bb,7,0.033816425120772944
7,69e42cc100000000220001ad,6,0.028985507246376812
7,69e59e520000000022027a90,5,0.024154589371980676
8,69e59e520000000022027a90,53,0.25853658536585367
8,69e47f8f000000001f007203,32,0.15609756097560976
8,69df625d0000000021005c63,30,0.14634146341463414
8,69e481e8000000002003ad94,18,0.08780487804878048
8,69e2583b00000000230211ea,13,0.06341463414634146
9,69e481e8000000002003ad94,68,0.3383084577114428
9,69da7e87000000001a03484e,61,0.3034825870646766
9,69e47f8f000000001f007203,16,0.07960199004975124
9,69e40352000000002102fc75,9,0.04477611940298507
9,69e59e520000000022027a90,7,0.03482587064676617
10,69e481e8000000002003ad94,154,0.7777777777777778
10,69da7e87000000001a03484e,11,0.05555555555555555
10,69e447d2000000001d01aa01,11,0.05555555555555555
10,69e4412a000000002103883f,4,0.020202020202020204
10,69e47f8f000000001f007203,4,0.020202020202020204
11,69e47f8f000000001f007203,32,0.16753926701570682
11,69e42cc100000000220001ad,29,0.1518324607329843
11,69e4426b000000001d01c7ed,27,0.14136125654450263
11,69e43b14000000001a02e095,26,0.13612565445026178
11,69e6f2bc0000000023005345,18,0.09424083769633508
12,69e429b4000000001b00037a,31,0.1631578947368421
12,69e481e8000000002003ad94,23,0.12105263157894737
12,69e47f8f000000001f007203,21,0.11052631578947368
12,69df625d0000000021005c63,20,0.10526315789473684
12,69e59e520000000022027a90,18,0.09473684210526316
13,69e42cc100000000220001ad,46,0.2754491017964072
13,69da7e87000000001a03484e,37,0.2215568862275449
13,69e4426b000000001d01c7ed,17,0.10179640718562874
13,69e47f8f000000001f007203,11,0.0658682634730539
13,69e481e8000000002003ad94,9,0.05389221556886228
14,69da7e87000000001a03484e,116,0.7532467532467533
14,69e481e8000000002003ad94,23,0.14935064935064934
14,69df625d0000000021005c63,4,0.025974025974025976
14,69e40352000000002102fc75,2,0.012987012987012988
14,69e47f8f000000001f007203,2,0.012987012987012988
15,69e481e8000000002003ad94,63,0.45
15,69da7e87000000001a03484e,47,0.3357142857142857
15,69e42cc100000000220001ad,7,0.05
15,69e2583b00000000230211ea,4,0.02857142857142857
15,69e46730000000001d0199c8,3,0.02142857142857143
16,69e481e8000000002003ad94,105,0.7720588235294118
16,69e47f8f000000001f007203,15,0.11029411764705882
16,69e6f2bc0000000023005345,4,0.029411764705882353
16,69da7e87000000001a03484e,2,0.014705882352941176
16,69e40352000000002102fc75,2,0.014705882352941176
17,69e4426b000000001d01c7ed,35,0.30701754385964913
17,69e42cc100000000220001ad,28,0.24561403508771928
17,69e48341000000001a02d0c4,18,0.15789473684210525
17,69e6f2bc0000000023005345,10,0.08771929824561403
17,69e59e520000000022027a90,7,0.06140350877192982
18,69da7e87000000001a03484e,44,0.38596491228070173
18,69e481e8000000002003ad94,28,0.24561403508771928
18,69e59e520000000022027a90,6,0.05263157894736842
18,69e42cc100000000220001ad,5,0.043859649122807015
18,69df625d0000000021005c63,4,0.03508771929824561
19,69e481e8000000002003ad94,105,0.9292035398230089
19,69e47f8f000000001f007203,3,0.02654867256637168
19,69e2583b00000000230211ea,2,0.017699115044247787
19,69e40352000000002102fc75,1,0.008849557522123894
19,69e4426b000000001d01c7ed,1,0.008849557522123894
20,69e42cc100000000220001ad,48,0.42857142857142855
20,69e47f8f000000001f007203,17,0.15178571428571427
20,69da7e87000000001a03484e,9,0.08035714285714286
20,69e481e8000000002003ad94,6,0.05357142857142857
20,69e43b14000000001a02e095,5,0.044642857142857144
21,69e481e8000000002003ad94,75,0.6818181818181818
21,69e43b14000000001a02e095,19,0.17272727272727273
21,69e48b0b000000001a02578c,5,0.045454545454545456
21,69e44171000000001a026b25,3,0.02727272727272727
21,69e59e520000000022027a90,3,0.02727272727272727
22,69e481e8000000002003ad94,33,0.3173076923076923
22,69da7e87000000001a03484e,17,0.16346153846153846
22,69e47f8f000000001f007203,11,0.10576923076923077
22,69e59e520000000022027a90,10,0.09615384615384616
22,69e40352000000002102fc75,6,0.057692307692307696
23,69e481e8000000002003ad94,59,0.5673076923076923
23,69da7e87000000001a03484e,23,0.22115384615384615
23,69e40352000000002102fc75,6,0.057692307692307696
23,69e2583b00000000230211ea,2,0.019230769230769232
23,69e42cc100000000220001ad,2,0.019230769230769232
24,69e481e8000000002003ad94,53,0.5096153846153846
24,69e47f8f000000001f007203,19,0.18269230769230768
24,69e44171000000001a026b25,14,0.1346153846153846
24,69e4426b000000001d01c7ed,11,0.10576923076923077
24,69e59e520000000022027a90,4,0.038461538461538464
25,69e48341000000001a02d0c4,19,0.1919191919191919
25,69da7e87000000001a03484e,17,0.1717171717171717
25,69e481e8000000002003ad94,16,0.16161616161616163
25,69e4b08d000000001d01c1bc,9,0.09090909090909091
25,69e59e520000000022027a90,8,0.08080808080808081
26,69e46730000000001d0199c8,52,0.5306122448979592
26,69df625d0000000021005c63,22,0.22448979591836735
26,69e59e520000000022027a90,22,0.22448979591836735
26,69e2583b00000000230211ea,1,0.01020408163265306
26,69e4551e000000001f005895,1,0.01020408163265306
27,69e481e8000000002003ad94,25,0.25510204081632654
27,69da7e87000000001a03484e,14,0.14285714285714285
27,69e47f8f000000001f007203,14,0.14285714285714285
27,69df625d0000000021005c63,6,0.061224489795918366
27,69e634590000000022003bb5,5,0.05102040816326531
28,69e481e8000000002003ad94,19,0.20430107526881722
28,69da7e87000000001a03484e,13,0.13978494623655913
28,69e59e520000000022027a90,10,0.10752688172043011
28,69e47f8f000000001f007203,7,0.07526881720430108
28,69e429b4000000001b00037a,6,0.06451612903225806
29,69e481e8000000002003ad94,72,0.7741935483870968
29,69e43b14000000001a02e095,18,0.1935483870967742
29,69df625d0000000021005c63,1,0.010752688172043012
29,69e2583b00000000230211ea,1,0.010752688172043012
29,69e4412a000000002103883f,1,0.010752688172043012
30,69e481e8000000002003ad94,85,0.9239130434782609
30,69e46032000000001f002048,2,0.021739130434782608
30,69e48b0b000000001a02578c,2,0.021739130434782608
30,69e43b14000000001a02e095,1,0.010869565217391304
30,69e463df000000001b003017,1,0.010869565217391304
31,69e481e8000000002003ad94,65,0.7142857142857143
31,69e43b14000000001a02e095,12,0.13186813186813187
31,69e2583b00000000230211ea,2,0.02197802197802198
31,69e4412a000000002103883f,2,0.02197802197802198
31,69e47f8f000000001f007203,2,0.02197802197802198
32,69e59e520000000022027a90,38,0.4222222222222222
32,69e45dbe000000001f00434f,17,0.18888888888888888
32,69df625d0000000021005c63,9,0.1
32,69e463df000000001b003017,6,0.06666666666666667
32,69da7e87000000001a03484e,5,0.05555555555555555
33,69e481e8000000002003ad94,17,0.18888888888888888
33,69df625d0000000021005c63,15,0.16666666666666666
33,69e2583b00000000230211ea,12,0.13333333333333333
33,69da7e87000000001a03484e,11,0.12222222222222222
33,69e40352000000002102fc75,11,0.12222222222222222
34,69e481e8000000002003ad94,65,0.7471264367816092
34,69e43b14000000001a02e095,8,0.09195402298850575
34,69da7e87000000001a03484e,3,0.034482758620689655
34,69e634590000000022003bb5,3,0.034482758620689655
34,69e4551e000000001f005895,2,0.022988505747126436
35,69e2583b00000000230211ea,70,0.813953488372093
35,69e47f8f000000001f007203,3,0.03488372093023256
35,69e481e8000000002003ad94,3,0.03488372093023256
35,69da7e87000000001a03484e,2,0.023255813953488372
35,69db34bb000000001a0348ae,2,0.023255813953488372
36,69e47f8f000000001f007203,49,0.5764705882352941
36,69e43b14000000001a02e095,13,0.15294117647058825
36,69da7e87000000001a03484e,8,0.09411764705882353
36,69e481e8000000002003ad94,7,0.08235294117647059
36,69e4412a000000002103883f,4,0.047058823529411764
37,69e481e8000000002003ad94,54,0.6506024096385542
37,69e43b14000000001a02e095,8,0.0963855421686747
37,69e44171000000001a026b25,7,0.08433734939759036
37,69da7e87000000001a03484e,2,0.024096385542168676
37,69e48b0b000000001a02578c,2,0.024096385542168676
38,69e481e8000000002003ad94,76,0.95
38,69e43b14000000001a02e095,2,0.025
38,69e48341000000001a02d0c4,1,0.0125
38,69e48b0b000000001a02578c,1,0.0125
39,69df625d0000000021005c63,21,0.2692307692307692
39,69da7e87000000001a03484e,14,0.1794871794871795
39,69e4412a000000002103883f,10,0.1282051282051282
39,69e46730000000001d0199c8,6,0.07692307692307693
39,69e48341000000001a02d0c4,5,0.0641025641025641
40,69e481e8000000002003ad94,26,0.35135135135135137
40,69da7e87000000001a03484e,19,0.25675675675675674
40,69e40352000000002102fc75,5,0.06756756756756757
40,69df625d0000000021005c63,4,0.05405405405405406
40,69e2583b00000000230211ea,4,0.05405405405405406
41,69e481e8000000002003ad94,20,0.28169014084507044
41,69da7e87000000001a03484e,12,0.16901408450704225
41,69e47f8f000000001f007203,7,0.09859154929577464
41,69df625d0000000021005c63,6,0.08450704225352113
41,69e59e520000000022027a90,5,0.07042253521126761
42,69e481e8000000002003ad94,28,0.4307692307692308
42,69da7e87000000001a03484e,8,0.12307692307692308
42,69df625d0000000021005c63,5,0.07692307692307693
42,69e40352000000002102fc75,5,0.07692307692307693
42,69e47f8f000000001f007203,5,0.07692307692307693
43,69e2583b00000000230211ea,28,0.4307692307692308
43,69e481e8000000002003ad94,13,0.2
43,69da7e87000000001a03484e,5,0.07692307692307693
43,69df625d0000000021005c63,5,0.07692307692307693
43,69e46032000000001f002048,2,0.03076923076923077
44,69da7e87000000001a03484e,44,0.6875
44,69df625d0000000021005c63,11,0.171875
44,69e59e520000000022027a90,3,0.046875
44,69e47f8f000000001f007203,2,0.03125
44,69db34bb000000001a0348ae,1,0.015625
45,69e59e520000000022027a90,32,0.5
45,69df625d0000000021005c63,11,0.171875
45,69e481e8000000002003ad94,6,0.09375
45,69e47f8f000000001f007203,5,0.078125
45,69e41e24000000001a025f1a,2,0.03125
46,69e481e8000000002003ad94,62,0.96875
46,69e42cc100000000220001ad,1,0.015625
46,69e43b14000000001a02e095,1,0.015625
47,69da7e87000000001a03484e,14,0.22580645161290322
47,69e481e8000000002003ad94,8,0.12903225806451613
