mcs,n_docs,n_topics,raw_outlier_rate,assigned_outlier_rate,valid_docs,largest_topic,largest_share_valid,largest_share_all,median_topic_size,p25_topic_size,p75_topic_size,min_topic_size,n_topics_ge_80,n_topics_ge_100
30,15901,95,0.4331803031255896,0.4331803031255896,9013,0,0.07644513480528126,0.043330608137852965,64.0,43.5,104.0,30,38,25
50,15901,52,0.5072008049808188,0.5072008049808188,7836,0,0.08856559469116897,0.043645053770203134,112.0,74.5,189.25,51,38,29
80,15901,29,0.5044336834161374,0.5044336834161374,7880,0,0.19098984771573604,0.09464813533740016,166.0,126.0,269.0,84,29,26
100,15901,2,0.007295138670523866,0.007295138670523866,15785,0,0.991384225530567,0.9841519401295517,7892.5,4014.25,11770.75,136,2,2
