Topic,ctfidf_top_terms
0,"机器人,荣耀,人类,遥控,自主,马拉松,机器,比赛,这些,ai,跑步,宇树,人形机器人,轮子,一样"
1,"第一,真的,搞笑,倒数,解说,加油,最后,人类,比赛,好笑,意义,感谢,视频,一名,这些"
2,"可爱,奶瓶,孩子,鲁班,参加,小孩,小派,小朋友,马拉松,宝宝,小小的,苍蝇,喜欢,蟑螂,帽子"
3,"保安,一脚,短腿,孩子,一步,鞋子,腿短,摔倒,这小,跑步,随时,步伐,认真,挺快,大爷"
4,"降温,喷雾,屁股,云南白药,过热,防晒,散热,电机,喷点,孩子,一下,wd40,关节,裤裆,制冷剂"
