Topic,ctfidf_top_terms
-1,"ai,装备,开始,起跑线,马拉松,这样,结束,机器人,减速带,粉碎性,输在,骨折,玩具,春晚,质量"
0,"机器人,救护车,人类,以为,一下,公司,这样,为什么,不行,视频,比赛,中国,一地,真的,稀碎"
1,"担架,抬担架,扫把,拿个,抬走,搞笑,过来,单架,还要,扫帚,垃圾桶,塑料袋,绷住,多余,准备"
