topic_id,帖子id,raw_count,share_raw
0,69e481e8000000002003ad94,562,0.4977856510186005
0,69da7e87000000001a03484e,68,0.06023029229406555
0,69e59e520000000022027a90,55,0.048715677590788306
0,69df625d0000000021005c63,53,0.046944198405668734
0,69e47f8f000000001f007203,43,0.03808680248007086
1,69e481e8000000002003ad94,179,0.2770897832817337
1,69da7e87000000001a03484e,124,0.19195046439628483
1,69e47f8f000000001f007203,66,0.1021671826625387
1,69e40352000000002102fc75,50,0.07739938080495357
1,69e59e520000000022027a90,32,0.04953560371517028
2,69e481e8000000002003ad94,75,0.13392857142857142
2,69e47f8f000000001f007203,75,0.13392857142857142
2,69e59e520000000022027a90,54,0.09642857142857143
2,69e2583b00000000230211ea,43,0.07678571428571429
2,69e4426b000000001d01c7ed,39,0.06964285714285715
3,69e447d2000000001d01aa01,266,0.533066132264529
3,69e481e8000000002003ad94,83,0.16633266533066132
3,69e47f8f000000001f007203,42,0.0841683366733467
3,69da7e87000000001a03484e,16,0.03206412825651302
3,69e2583b00000000230211ea,16,0.03206412825651302
4,69e481e8000000002003ad94,225,0.45180722891566266
4,69da7e87000000001a03484e,148,0.2971887550200803
4,69e47f8f000000001f007203,17,0.03413654618473896
4,69e44278000000001a0217bb,10,0.020080321285140562
4,69e42cc100000000220001ad,10,0.020080321285140562
5,69e481e8000000002003ad94,188,0.3805668016194332
5,69da7e87000000001a03484e,114,0.23076923076923078
5,69e4426b000000001d01c7ed,39,0.07894736842105263
5,69df625d0000000021005c63,29,0.058704453441295545
5,69e42cc100000000220001ad,21,0.04251012145748988
6,69e2583b00000000230211ea,139,0.3195402298850575
6,69da7e87000000001a03484e,60,0.13793103448275862
6,69e42cc100000000220001ad,50,0.11494252873563218
6,69e44171000000001a026b25,37,0.08505747126436781
6,69e481e8000000002003ad94,28,0.06436781609195402
7,69e481e8000000002003ad94,126,0.3014354066985646
7,69da7e87000000001a03484e,56,0.1339712918660287
7,69e48341000000001a02d0c4,46,0.11004784688995216
7,69e47f8f000000001f007203,30,0.07177033492822966
7,69e59e520000000022027a90,26,0.06220095693779904
8,69da7e87000000001a03484e,234,0.6
8,69e481e8000000002003ad94,27,0.06923076923076923
8,69df625d0000000021005c63,19,0.04871794871794872
8,69e45dbe000000001f00434f,19,0.04871794871794872
8,69e47f8f000000001f007203,18,0.046153846153846156
9,69e481e8000000002003ad94,217,0.5864864864864865
9,69da7e87000000001a03484e,89,0.24054054054054055
9,69e42cc100000000220001ad,13,0.03513513513513514
9,69e2583b00000000230211ea,10,0.02702702702702703
9,69e4426b000000001d01c7ed,9,0.024324324324324326
10,69da7e87000000001a03484e,153,0.42032967032967034
10,69e47f8f000000001f007203,50,0.13736263736263737
10,69e481e8000000002003ad94,33,0.09065934065934066
10,69e634590000000022003bb5,16,0.04395604395604396
10,69df625d0000000021005c63,12,0.03296703296703297
11,69e47f8f000000001f007203,62,0.1712707182320442
11,69e59e520000000022027a90,60,0.16574585635359115
11,69df625d0000000021005c63,47,0.1298342541436464
11,69e4426b000000001d01c7ed,46,0.1270718232044199
11,69da7e87000000001a03484e,25,0.06906077348066299
12,69e481e8000000002003ad94,55,0.17133956386292834
12,69e429b4000000001b00037a,35,0.10903426791277258
12,69e47f8f000000001f007203,33,0.102803738317757
12,69e59e520000000022027a90,31,0.09657320872274143
12,69df625d0000000021005c63,28,0.08722741433021806
13,69e481e8000000002003ad94,284,0.919093851132686
13,69e48b0b000000001a02578c,5,0.016181229773462782
13,69e41e24000000001a025f1a,4,0.012944983818770227
13,69e43b14000000001a02e095,4,0.012944983818770227
13,69e46032000000001f002048,3,0.009708737864077669
14,69e481e8000000002003ad94,75,0.2508361204013378
14,69da7e87000000001a03484e,73,0.24414715719063546
14,69e47f8f000000001f007203,24,0.0802675585284281
14,69e447d2000000001d01aa01,16,0.05351170568561873
14,69e4426b000000001d01c7ed,13,0.043478260869565216
15,69e481e8000000002003ad94,96,0.34657039711191334
15,69da7e87000000001a03484e,48,0.17328519855595667
15,69e47f8f000000001f007203,37,0.13357400722021662
15,69e40352000000002102fc75,16,0.05776173285198556
15,69e2583b00000000230211ea,14,0.05054151624548736
16,69e47f8f000000001f007203,91,0.3807531380753138
16,69db34bb000000001a0348ae,56,0.23430962343096234
16,69da7e87000000001a03484e,33,0.13807531380753138
16,69e2583b00000000230211ea,18,0.07531380753138076
16,69e481e8000000002003ad94,7,0.029288702928870293
17,69e481e8000000002003ad94,67,0.3059360730593607
17,69e47f8f000000001f007203,25,0.1141552511415525
17,69da7e87000000001a03484e,21,0.0958904109589041
17,69e447d2000000001d01aa01,17,0.0776255707762557
17,69e59e520000000022027a90,12,0.0547945205479452
18,69e42cc100000000220001ad,62,0.2831050228310502
18,69e47f8f000000001f007203,34,0.1552511415525114
18,69da7e87000000001a03484e,30,0.136986301369863
18,69e481e8000000002003ad94,23,0.1050228310502283
18,69e4426b000000001d01c7ed,10,0.045662100456621
19,69e4426b000000001d01c7ed,70,0.330188679245283
19,69e42cc100000000220001ad,52,0.24528301886792453
19,69e48341000000001a02d0c4,29,0.13679245283018868
19,69e59e520000000022027a90,14,0.0660377358490566
19,69e6f2bc0000000023005345,13,0.06132075471698113
20,69e2583b00000000230211ea,38,0.18446601941747573
20,69e481e8000000002003ad94,34,0.1650485436893204
20,69e4b08d000000001d01c1bc,21,0.10194174757281553
20,69da7e87000000001a03484e,20,0.0970873786407767
20,69df625d0000000021005c63,14,0.06796116504854369
21,69e42cc100000000220001ad,51,0.26842105263157895
21,69da7e87000000001a03484e,39,0.20526315789473684
21,69e4426b000000001d01c7ed,23,0.12105263157894737
21,69e47f8f000000001f007203,17,0.08947368421052632
21,69e481e8000000002003ad94,9,0.04736842105263158
22,69da7e87000000001a03484e,138,0.7340425531914894
22,69e481e8000000002003ad94,27,0.14361702127659576
22,69e47f8f000000001f007203,7,0.03723404255319149
22,69df625d0000000021005c63,5,0.026595744680851064
22,69e40352000000002102fc75,3,0.015957446808510637
23,69e42cc100000000220001ad,44,0.24444444444444444
23,69e4426b000000001d01c7ed,35,0.19444444444444445
23,69e47f8f000000001f007203,30,0.16666666666666666
23,69e43b14000000001a02e095,23,0.12777777777777777
23,69e6f2bc0000000023005345,10,0.05555555555555555
24,69e481e8000000002003ad94,46,0.26136363636363635
24,69da7e87000000001a03484e,34,0.19318181818181818
24,69e42cc100000000220001ad,12,0.06818181818181818
24,69e47f8f000000001f007203,11,0.0625
24,69df625d0000000021005c63,10,0.056818181818181816
25,69e481e8000000002003ad94,150,0.8928571428571429
25,69e47f8f000000001f007203,8,0.047619047619047616
25,69e2583b00000000230211ea,2,0.011904761904761904
25,69e4426b000000001d01c7ed,2,0.011904761904761904
25,69da7e87000000001a03484e,1,0.005952380952380952
26,69e481e8000000002003ad94,27,0.16071428571428573
26,69e47f8f000000001f007203,27,0.16071428571428573
26,69da7e87000000001a03484e,26,0.15476190476190477
26,69df625d0000000021005c63,11,0.06547619047619048
26,69e447d2000000001d01aa01,10,0.05952380952380952
27,69e481e8000000002003ad94,87,0.5272727272727272
27,69da7e87000000001a03484e,28,0.1696969696969697
27,69e40352000000002102fc75,12,0.07272727272727272
27,69e47f8f000000001f007203,8,0.048484848484848485
27,69e42cc100000000220001ad,6,0.03636363636363636
28,69e481e8000000002003ad94,47,0.31543624161073824
28,69da7e87000000001a03484e,27,0.18120805369127516
28,69e47f8f000000001f007203,12,0.08053691275167785
28,69e4551e000000001f005895,11,0.0738255033557047
28,69df625d0000000021005c63,9,0.06040268456375839
29,69e59e520000000022027a90,67,0.4527027027027027
29,69e45dbe000000001f00434f,20,0.13513513513513514
29,69df625d0000000021005c63,19,0.12837837837837837
29,69e463df000000001b003017,8,0.05405405405405406
29,69da7e87000000001a03484e,8,0.05405405405405406
30,69e481e8000000002003ad94,33,0.22602739726027396
