topic,top_terms,size
0,"机器人, 这些, 救护车, 马拉松, 春晚, 人类, 跑步, 救人, 中国, 自爆, 之前, 为什么, 碰瓷, 跳舞, 肯定",665
1,"人, 机器, 中国, 起来, 好像, 一样, 汽车, 设计, 代替, 不够, 一堆, 那些, 照顾, 機器, 确实",200
2,"担架, 搞笑, 还要, 不好, 还用, 抬走, 需要, tm, 好笑, 塑料袋, 拿个, 玩意, 扫把, 确实, 准备",116
3,"装备, 一地, 上来, 零件, 爆一地, 开始, 摔倒, 第一个, 好像, 666, 真的, 爆率, 厉害, 东西, 碰瓷",104
4,"ai, 一堆, 为什么, 一样, 碎成, 地上, 角度, 只是, 好像, 衣服, 零件, 春晚, 摔倒, 不如, 看来",136
5,"红色, 闪电, 厉害, 荣耀, 真的, 自爆, 哪家, 一样, 撞车, 哪个, 想起, 追尾, 喜欢, 汽车, 冠军",99
6,"遥控, 玩具, 自主, 自动, 东西, 遥控器, 是不是, 玩意, 而已, 不如, 意思, 样子, 拿个, 好像, 操作",194
7,"比赛, 马拉松, 测试, 人形机器人, 为什么, 人类, 真的, 参加, 玩意, 现场, 人形, 厂家, 好笑, 亦庄, 意义",460
8,"解说, 搞笑, 有趣, 好笑, 水平, 精彩, 东西, 真的, 好玩, 有意思, 配乐, 不要, 更好, 不行, 可爱",139
9,"视频, 人类, 宇树, 去年, 刷到, 在外, 搞笑, 看过, 其他, 今天, 发展, 起来, 真的, 追尾, 跑步",174
10,"一下, 抢救, 真的, 处理, 质量, 解体, 公司, 测试, 骨折, 确实, 粉碎性, 好像, 散架, 哪家, 无法",225
11,"这样, 以为, 原来, 碎成, 晚上, 零件, 救护车, 救人, 知道, 大家, 中国, 这些, 结果, 粉末, 设计",333
