topic,n_comments,dominant_post_id,n_on_dominant_post,post_dominance
0,4234,69e481e8000000002003ad94,1713,0.4045819555975437
1,3898,69da7e87000000001a03484e,1238,0.31759876859928166
2,3223,69e4426b000000001d01c7ed,697,0.21625814458578962
3,2427,69e481e8000000002003ad94,942,0.38813349814585907
4,2334,69e481e8000000002003ad94,1418,0.6075407026563839
5,1706,69e481e8000000002003ad94,1467,0.8599062133645955
6,1010,69e481e8000000002003ad94,696,0.689108910891089
