Topic,ctfidf_top_terms
0,"搞笑,评论,好笑,真的,视频,不行,春晚,好玩,沉舟,侧畔,千帆,主角,也好,世界,这样"
1,"赛跑,龟兔,马拉松,耐克,不如,小孩,重心,稳定,比赛,底盘,跑步,孩子,鼓掌,豆包,前面"
2,"地上,镜头,坐在,一转,最后,坐下,不住,出现,没人管,突然,没人,蓝色,干嘛,旁边,后面"
3,"机器人,为什么,机器,人形机器人,人形,做成,人类,轮子,机器狗,为了,比如,比赛,形态,那种,四个"
4,"机器人,小机器人,可爱,搞笑,人类,奶瓶,这些,机器人马拉松,小孩,乐子,虐待,鼓掌,马拉松,没想到,禁止"
5,"可爱,小孩,鲁班,果然,小小的,小孩儿,东西,这小,孩子,精力旺盛,好像,真的,长大,我家,乒乓"
6,"奶瓶,奶嘴,小鼻嘎,可爱,脖子,小孩,还拿个,安抚,拿个,手里,甚至,断奶,工程师,旁边,胸口"
7,"低血糖,恶疾,突发,电池,一半,中暑,头晕,晕倒,一模一样,不足,似的,太快,太热,太高,似滴"
8,"遥控,汽车,自主,控制,后面,股票,遥控器,号码牌,智驾,春晚,运动,方向,表演,公司,是不是"
9,"镜头,语言,斯皮尔伯格,转过,一转,名画,世界,艺术,最后,真正,运镜,这块,转场,一块,摄影"
