Topic,ctfidf_top_terms
0,"第一,倒数,搞笑,真的,解说,加油,最后,好笑,比赛,感谢,一名,意义,看热闹,视频,鼓掌"
1,"机器人,人类,机器,这些,轮子,马拉松,人形,比赛,人形机器人,跑步,机械,机器人马拉松,小机器人,未来,为什么"
2,"保安,一脚,摔倒,随时,一步,大爷,第一个,一秒,假酒,前女友,没电,喝多,电池,绊倒,补给"
3,"奶瓶,孩子,参加,马拉松,可爱,小孩,小朋友,幼儿园,奶嘴,未成年,小鼻嘎,参赛,儿童组,喝奶,人家"
4,"降温,喷雾,屁股,云南白药,过热,防晒,散热,电机,喷点,wd40,关节,一下,孩子,制冷剂,裤裆"
5,"遥控,自主,人类,春晚,ai,程序员,工程师,玩具,遥控器,控制,东西,后面,ppt,材料,玩意"
6,"可爱,苍蝇,小小的,小派,蟑螂,帽子,喜欢,蚊子,东西,真的,宝宝,老鼠,红领巾,小时候,除外"
7,"短腿,鞋子,腿短,孩子,这小,跑步,步伐,认真,太大,半步,太短,挺快,动作,小腿,倒腾"
8,"荣耀,宇树,第一个,闪电,撞线,遥控,机器人,厉害,参赛,华为,成绩,手机,比赛,终点,六名"
9,"鲁班,七号,王者,好像,小将,大师,二爹,乒乓,一死,一抓,峡谷,刺客,胞弟,cos,250"
