Topic,ctfidf_top_terms
-1,"机器人,担架,ai,遥控,马拉松,解说,装备,红色,这样,春晚,以为,东西,玩具,比赛,救护车"
0,"一下,视频,搞笑,真的,一地,这样,一块,正常,摔倒,挣扎,不要,好笑,稀碎,好像,比赛"
1,"机器人,人类,机器,人形机器人,这些,中国,为什么,发展,人形,视频,比赛,公司,轮子,知道,设计"
